kx,band_index,energy,edge_weight
-3.141592653589793,0,-2.069924438308812,0.0006382712261208988
-3.141592653589793,1,-2.0699244383088113,0.0006382712261207115
-3.141592653589793,2,-2.068288676322292,0.00253213978256695
-3.141592653589793,3,-2.0682886763222914,0.0025321397825667303
-3.141592653589793,4,-2.0655653965954692,0.005619583207980647
-3.141592653589793,5,-2.065565396595469,0.00561958320798038
-3.141592653589793,6,-2.061759093530819,0.009799907144583796
-3.141592653589793,7,-2.0617590935308185,0.009799907144583831
-3.141592653589793,8,-2.0568760774034294,0.01493764487920807
-3.141592653589793,9,-2.056876077403429,0.014937644879207776
-3.141592653589793,10,-2.0509244926080843,0.02086779142429416
-3.141592653589793,11,-2.050924492608084,0.02086779142429534
-3.141592653589793,12,-2.0439143413086387,0.02740215803189612
-3.141592653589793,13,-2.0439143413086387,0.02740215803189537
-3.141592653589793,14,-2.035857512622736,0.034336587297415205
-3.141592653589793,15,-2.0358575126227354,0.03433658729741551
-3.141592653589793,16,-2.026767817494092,0.04145873396646195
-3.141592653589793,17,-2.0267678174940915,0.04145873396646246
-3.141592653589793,18,-2.0166610294163925,0.04855609364719758
-3.141592653589793,19,-2.0166610294163925,0.04855609364719892
-3.141592653589793,20,-2.0055549311746526,0.05542395179228203
-3.141592653589793,21,-2.0055549311746526,0.055423951792283405
-3.141592653589793,22,-1.9934693677587212,0.06187292895268645
-3.141592653589793,23,-1.9934693677587207,0.0618729289526853
-3.141592653589793,24,-1.9804263055753697,0.06773581527299596
-3.141592653589793,25,-1.9804263055753693,0.06773581527299777
-3.141592653589793,26,-1.9664498980352951,0.07287341680423856
-3.141592653589793,27,-1.9664498980352951,0.0728734168042393
-3.141592653589793,28,-1.9515665575133108,0.07717917725440465
-3.141592653589793,29,-1.9515665575133105,0.07717917725440578
-3.141592653589793,30,-1.935805033566674,0.0805823896189343
-3.141592653589793,31,-1.9358050335666737,0.08058238961893516
-3.141592653589793,32,-1.9191964971391462,0.08304987068606777
-3.141592653589793,33,-1.9191964971391458,0.08304987068606876
-3.141592653589793,34,-1.901774630266574,0.08458603534849338
-3.141592653589793,35,-1.9017746302665737,0.08458603534849274
-3.141592653589793,36,-1.8835757205216628,0.08523137442471296
-3.141592653589793,37,-1.8835757205216623,0.0852313744247137
-3.141592653589793,38,-1.8646387590776894,0.08505940665714246
-3.141592653589793,39,-1.864638759077689,0.08505940665714258
-3.141592653589793,40,-1.8450055408187913,0.0841722400756287
-3.141592653589793,41,-1.8450055408187909,0.08417224007562839
-3.141592653589793,42,-1.82472076436332,0.08269493747497175
-3.141592653589793,43,-1.82472076436332,0.08269493747497186
-3.141592653589793,44,-1.8038321291827308,0.0807689330383499
-3.141592653589793,45,-1.8038321291827304,0.08076893303835032
-3.141592653589793,46,-1.782390426180701,0.07854479011239633
-3.141592653589793,47,-1.782390426180701,0.07854479011239365
-3.141592653589793,48,-1.7604496171405755,0.07617462210893111
-3.141592653589793,49,-1.760449617140575,0.07617462210893176
-3.141592653589793,50,-1.738066897358637,0.07380451814631823
-3.141592653589793,51,-1.738066897358636,0.07380451814631854
-3.141592653589793,52,-1.7153027345762748,0.0715673213967682
-3.141592653589793,53,-1.7153027345762748,0.07156732139676843
-3.141592653589793,54,-1.6922208760478288,0.06957610057526409
-3.141592653589793,55,-1.6922208760478286,0.06957610057526283
-3.141592653589793,56,-1.6688883143042519,0.06791863330539102
-3.141592653589793,57,-1.6688883143042519,0.06791863330539098
-3.141592653589793,58,-1.6453752010049838,0.06665318421233171
-3.141592653589793,59,-1.6453752010049834,0.06665318421233113
-3.141592653589793,60,-1.6217546973648234,0.06580581074728346
-3.141592653589793,61,-1.621754697364823,0.06580581074728313
-3.141592653589793,62,-1.5981027492006519,0.06536936641525648
-3.141592653589793,63,-1.5981027492006517,0.06536936641525641
-3.141592653589793,64,-1.5744977749106195,0.06530429507157122
-3.141592653589793,65,-1.5744977749106193,0.06530429507157057
-3.141592653589793,66,-1.5510202559533852,0.06554122261446929
-3.141592653589793,67,-1.551020255953385,0.06554122261446856
-3.141592653589793,68,-1.5277522219176856,0.06598525592246181
-3.141592653589793,69,-1.5277522219176856,0.06598525592246089
-3.141592653589793,70,-1.5047766263008608,0.06652179672487374
-3.141592653589793,71,-1.5047766263008608,0.06652179672487338
-3.141592653589793,72,-1.482176614781037,0.06702357543301193
-3.141592653589793,73,-1.482176614781037,0.06702357543301145
-3.141592653589793,74,-1.4600346950223664,0.06735851403225948
-3.141592653589793,75,-1.4600346950223664,0.06735851403225909
-3.141592653589793,76,-1.4384318255911996,0.06739794722822384
-3.141592653589793,77,-1.4384318255911996,0.06739794722822287
-3.141592653589793,78,-1.4174464507699136,0.06702467790204325
-3.141592653589793,79,-1.4174464507699136,0.06702467790204192
-3.141592653589793,80,-1.397153517006727,0.06614032741543519
-3.141592653589793,81,-1.397153517006727,0.0661403274154344
-3.141592653589793,82,-1.37762351425913,0.06467147224596245
-3.141592653589793,83,-1.37762351425913,0.06467147224596279
-3.141592653589793,84,-1.3589215903038403,0.06257414004350813
-3.141592653589793,85,-1.3589215903038403,0.06257414004350925
-3.141592653589793,86,-1.3411067870541447,0.059836367677689066
-3.141592653589793,87,-1.3411067870541442,0.05983636767769015
-3.141592653589793,88,-1.3242314442902416,0.056478690029365466
-3.141592653589793,89,-1.324231444290241,0.056478690029365716
-3.141592653589793,90,-1.308340807829478,0.052552612167567236
-3.141592653589793,91,-1.3083408078294776,0.052552612167567736
-3.141592653589793,92,-1.293472866640741,0.04813729505081206
-3.141592653589793,93,-1.29347286664074,0.0481372950508122
-3.141592653589793,94,-1.2796584280449272,0.043334831368577006
-3.141592653589793,95,-1.2796584280449264,0.043334831368577
-3.141592653589793,96,-1.2669214237448652,0.0382645836537405
-3.141592653589793,97,-1.2669214237448647,0.038264583653741
-3.141592653589793,98,-1.2552794239617133,0.03305709043379096
-3.141592653589793,99,-1.2552794239617129,0.033057090433789744
-3.141592653589793,100,-1.2447443241796479,0.027848018152111225
-3.141592653589793,101,-1.2447443241796476,0.027848018152110972
-3.141592653589793,102,-1.2353231601496684,0.022772557468999154
-3.141592653589793,103,-1.2353231601496684,0.02277255746899902
-3.141592653589793,104,-1.2270190024072152,0.017960550137671664
-3.141592653589793,105,-1.227019002407215,0.01796055013767184
-3.141592653589793,106,-1.2198318814380342,0.013532507477475184
-3.141592653589793,107,-1.2198318814380336,0.013532507477475447
-3.141592653589793,108,-1.2137596980350842,0.00959656247461729
-3.141592653589793,109,-1.213759698035084,0.00959656247461763
-3.141592653589793,110,-1.2087990792425292,0.006246298985259469
-3.141592653589793,111,-1.208799079242529,0.006246298985258918
-3.141592653589793,112,-1.2049461474108198,0.003559331618547405
-3.141592653589793,113,-1.2049461474108194,0.003559331618547247
-3.141592653589793,114,-1.2021971772441635,0.001596471089169302
-3.141592653589793,115,-1.2021971772441635,0.001596471089169556
-3.141592653589793,116,-1.20054912252594,0.00040130015666226535
-3.141592653589793,117,-1.2005491225259395,0.0004013001566621916
-3.141592653589793,118,-0.8479738545337426,0.9988007350448123
-3.141592653589793,119,-0.8479738545337426,0.9988007350448111
-3.141592653589793,120,-0.8479738545337424,0.9988007350448088
-3.141592653589793,121,-0.8479738545337422,0.9988007350448106
-3.141592653589793,122,-0.5865352682963813,0.00037065182604806117
-3.141592653589793,123,-0.5865352682963813,0.0003706518260472184
-3.141592653589793,124,-0.586320155514081,0.0014747521891535947
-3.141592653589793,125,-0.5863201555140809,0.0014747521891537898
-3.141592653589793,126,-0.5859606541797598,0.0032889179110130906
-3.141592653589793,127,-0.5859606541797597,0.003288917911013407
-3.141592653589793,128,-0.5854552880275831,0.005774780280733319
-3.141592653589793,129,-0.5854552880275827,0.005774780280736162
-3.141592653589793,130,-0.5848019778503694,0.008879876128509288
-3.141592653589793,131,-0.5848019778503687,0.008879876128507578
-3.141592653589793,132,-0.5839980290802106,0.012538868032488881
-3.141592653589793,133,-0.5839980290802104,0.01253886803248935
-3.141592653589793,134,-0.5830401158521787,0.01667506708931557
-3.141592653589793,135,-0.5830401158521787,0.016675067089312705
-3.141592653589793,136,-0.5819242615913539,0.021202225102421264
-3.141592653589793,137,-0.5819242615913537,0.02120222510241964
-3.141592653589793,138,-0.5806458161918994,0.02602655718758679
-3.141592653589793,139,-0.5806458161918994,0.026026557187584703
-3.141592653589793,140,-0.5791994298988095,0.031048950778992085
-3.141592653589793,141,-0.5791994298988095,0.03104895077899026
-3.141592653589793,142,-0.577579024062179,0.03616731293375361
-3.141592653589793,143,-0.5775790240621788,0.03616731293374632
-3.141592653589793,144,-0.5757777590152313,0.041279004742967924
-3.141592653589793,145,-0.5757777590152309,0.04127900474296628
-3.141592653589793,146,-0.5737879994366953,0.04628330959637448
-3.141592653589793,147,-0.5737879994366951,0.046283309596373286
-3.141592653589793,148,-0.5716012777024684,0.05108388101633654
-3.141592653589793,149,-0.5716012777024683,0.05108388101633657
-3.141592653589793,150,-0.5692082559191824,0.05559111574305822
-3.141592653589793,151,-0.5692082559191823,0.055591115743059166
-3.141592653589793,152,-0.5665986875732116,0.05972439864859633
-3.141592653589793,153,-0.5665986875732116,0.05972439864859867
-3.141592653589793,154,-0.5637613800342032,0.06341416778407086
-3.141592653589793,155,-0.5637613800342031,0.06341416778407573
-3.141592653589793,156,-0.5606841595354475,0.06660375029274422
-3.141592653589793,157,-0.5606841595354473,0.06660375029275153
-3.141592653589793,158,-0.5573538407286025,0.0692509228984705
-3.141592653589793,159,-0.5573538407286025,0.0692509228984661
-3.141592653589793,160,-0.5537562034926626,0.07132915403550867
-3.141592653589793,161,-0.5537562034926626,0.07132915403551765
-3.141592653589793,162,-0.5498759803816461,0.07282848825020997
-3.141592653589793,163,-0.5498759803816459,0.07282848825020702
-3.141592653589793,164,-0.5456968589357593,0.07375603711891195
-3.141592653589793,165,-0.545696858935759,0.07375603711890773
-3.141592653589793,166,-0.5412015040661452,0.07413604447248268
-3.141592653589793,167,-0.5412015040661452,0.07413604447248065
-3.141592653589793,168,-0.5363716068557601,0.07400949714583649
-3.141592653589793,169,-0.53637160685576,0.07400949714583407
-3.141592653589793,170,-0.5311879673880914,0.07343325584352092
-3.141592653589793,171,-0.5311879673880914,0.07343325584352234
-3.141592653589793,172,-0.5256306205923261,0.07247868424920383
-3.141592653589793,173,-0.525630620592326,0.07247868424920265
-3.141592653589793,174,-0.5196790155224492,0.07122975863785383
-3.141592653589793,175,-0.5196790155224492,0.07122975863785551
-3.141592653589793,176,-0.513312259876465,0.06978064566692668
-3.141592653589793,177,-0.5133122598764648,0.06978064566692649
-3.141592653589793,178,-0.5065094427715885,0.0682327437177286
-3.141592653589793,179,-0.5065094427715884,0.06823274371772722
-3.141592653589793,180,-0.49925004962602265,0.06669119442894411
-3.141592653589793,181,-0.4992500496260226,0.06669119442894406
-3.141592653589793,182,-0.49151448319762825,0.06526088746514794
-3.141592653589793,183,-0.49151448319762814,0.06526088746514805
-3.141592653589793,184,-0.4832847040682172,0.06404200477046766
-3.141592653589793,185,-0.48328470406821716,0.06404200477046743
-3.141592653589793,186,-0.47454500175553294,0.06312518211847845
-3.141592653589793,187,-0.47454500175553294,0.06312518211847745
-3.141592653589793,188,-0.46528290376507336,0.06258640672289761
-3.141592653589793,189,-0.46528290376507336,0.06258640672289592
-3.141592653589793,190,-0.4554902238507172,0.06248182005549521
-3.141592653589793,191,-0.4554902238507171,0.06248182005549377
-3.141592653589793,192,-0.445164242198677,0.06284265331345008
-3.141592653589793,193,-0.445164242198677,0.0628426533134493
-3.141592653589793,194,-0.43430899900191305,0.06367058564937175
-3.141592653589793,195,-0.43430899900191305,0.06367058564937128
-3.141592653589793,196,-0.42293666902376753,0.06493387653019028
-3.141592653589793,197,-0.42293666902376725,0.0649338765301912
-3.141592653589793,198,-0.4110689686841306,0.06656467557067948
-3.141592653589793,199,-0.4110689686841304,0.06656467557067931
-3.141592653589793,200,-0.39873852979798974,0.06845794667916769
-3.141592653589793,201,-0.39873852979798957,0.06845794667916907
-3.141592653589793,202,-0.38599015670205666,0.0704724488890248
-3.141592653589793,203,-0.3859901567020566,0.07047244888902304
-3.141592653589793,204,-0.37288186797005957,0.07243418523518658
-3.141592653589793,205,-0.3728818679700595,0.07243418523518763
-3.141592653589793,206,-0.3594856125670191,0.0741426563114663
-3.141592653589793,207,-0.35948561256701905,0.07414265631146826
-3.141592653589793,208,-0.34588754586052145,0.07538013047194231
-3.141592653589793,209,-0.34588754586052145,0.07538013047194139
-3.141592653589793,210,-0.3321877563989258,0.07592396117440744
-3.141592653589793,211,-0.3321877563989257,0.07592396117440758
-3.141592653589793,212,-0.3184993527947343,0.07556173490689126
-3.141592653589793,213,-0.31849935279473424,0.07556173490689068
-3.141592653589793,214,-0.3049468539132872,0.07410871099741491
-3.141592653589793,215,-0.3049468539132871,0.07410871099741498
-3.141592653589793,216,-0.2916638759443418,0.07142661396127642
-3.141592653589793,217,-0.2916638759443417,0.07142661396127498
-3.141592653589793,218,-0.278790175203742,0.0674423761137093
-3.141592653589793,219,-0.278790175203742,0.06744237611370982
-3.141592653589793,220,-0.26646817994893485,0.06216495615652172
-3.141592653589793,221,-0.26646817994893485,0.06216495615652226
-3.141592653589793,222,-0.25483921745100563,0.05569798035528724
-3.141592653589793,223,-0.2548392174510056,0.055697980355286766
-3.141592653589793,224,-0.24403969920468246,0.04824581076632095
-3.141592653589793,225,-0.24403969920468227,0.04824581076632081
-3.141592653589793,226,-0.2341975514261053,0.04011089030572013
-3.141592653589793,227,-0.2341975514261053,0.040110890305718856
-3.141592653589793,228,-0.22542915765984814,0.03168094422438593
-3.141592653589793,229,-0.2254291576598479,0.03168094422438466
-3.141592653589793,230,-0.21783701243278758,0.02340581321715131
-3.141592653589793,231,-0.21783701243278752,0.023405813217151145
-3.141592653589793,232,-0.21150817901435076,0.015765191369077648
-3.141592653589793,233,-0.2115081790143506,0.015765191369078488
-3.141592653589793,234,-0.20651352144661858,0.00923006094184382
-3.141592653589793,235,-0.20651352144661825,0.009230060941843473
-3.141592653589793,236,-0.2029075678394962,0.0042218350640106424
-3.141592653589793,237,-0.20290756783949618,0.004221835064010693
-3.141592653589793,238,-0.2007287830611696,0.0010738747163719343
-3.141592653589793,239,-0.20072878306116917,0.0010738747163716623
-3.141592653589793,240,0.2704892101194086,0.0006207434969359788
-3.141592653589793,241,0.2704892101194087,0.0006207434969323022
-3.141592653589793,242,0.2705469564180939,0.002465608663111701
-3.141592653589793,243,0.270546956418094,0.002465608663105754
-3.141592653589793,244,0.27064349825187267,0.005483026679501379
-3.141592653589793,245,0.2706434982518728,0.005483026679510887
-3.141592653589793,246,0.2707792854880682,0.009588791294992722
-3.141592653589793,247,0.27077928548806834,0.009588791294976383
-3.141592653589793,248,0.27095495370936534,0.01466861800073661
-3.141592653589793,249,0.2709549537093655,0.014668618000744873
-3.141592653589793,250,0.2711713300803054,0.02058162135518731
-3.141592653589793,251,0.2711713300803054,0.020581621355169843
-3.141592653589793,252,0.2714294410320231,0.02716460833996439
-3.141592653589793,253,0.2714294410320232,0.027164608339986865
-3.141592653589793,254,0.27173052187536156,0.03423706121364009
-3.141592653589793,255,0.27173052187536184,0.03423706121363425
-3.141592653589793,256,0.2720760284809902,0.041606662322159566
-3.141592653589793,257,0.2720760284809902,0.04160666232221262
-3.141592653589793,258,0.27246765119618926,0.04907519630870759
-3.141592653589793,259,0.2724676511961894,0.04907519630871046
-3.141592653589793,260,0.27290733120204774,0.05644465261627374
-3.141592653589793,261,0.2729073312020479,0.05644465261626402
-3.141592653589793,262,0.27339727955258364,0.06352334347087071
-3.141592653589793,263,0.27339727955258364,0.06352334347087348
-3.141592653589793,264,0.27393999917937556,0.07013184991867663
