point_label,v,lm,t,w,chern_plus,chern_minus,spin_chern,spin_bott,comment
A,0.9,0.2,0.5,1.1,1.0000000000000204,-0.9999999999999947,1.0000000000000075,-1.0000000000000016,"from model.sz with kron(I4, sz)"
B,1.1,0.2,0.5,0.8999999999999999,1.000000000000022,-1.0000000000000038,1.0000000000000129,-2.3456590775793437e-15,"from model.sz with kron(I4, sz)"
C,1.9,0.0,0.5,0.10000000000000009,-2.4662479167332422e-14,1.9239692435980994e-14,-2.1951085801656706e-14,3.630119494044026e-15,"from model.sz with kron(I4, sz)"
D,1.9,0.2,0.5,0.10000000000000009,2.050112478775991e-15,1.837011907134268e-14,-8.160003296283344e-15,-1.5233881119266469e-15,"from model.sz with kron(I4, sz)"
