kz_frac,chern_slice,gap_slice,wilson_winding,z2
0.000000000000000000e+00,-2.216021461805487104e-16,1.999999999999994560e-01,-1.756278483816096081e+00,0.000000000000000000e+00
4.761904761904761640e-02,7.291143132646332836e-18,2.089353390198963045e-01,1.445257853383867364e+00,1.000000000000000000e+00
9.523809523809523281e-02,1.448035700721169040e-16,2.355417553710857093e-01,4.994097975501912701e-01,0.000000000000000000e+00
1.428571428571428492e-01,1.044374278191520170e-16,2.792249056780639060e-01,-2.024489729154966167e+00,0.000000000000000000e+00
1.904761904761904656e-01,2.669688158777491542e-16,3.219820389055911836e-01,-1.749073618718585132e+00,0.000000000000000000e+00
2.380952380952380820e-01,-5.223315850291014338e-16,1.728829949277221334e-01,4.254888010072889748e-01,0.000000000000000000e+00
2.857142857142856984e-01,2.853585932984532180e-17,2.416317026025904813e-03,-2.321912469520755362e+00,0.000000000000000000e+00
3.333333333333333148e-01,-4.717526591704716518e-17,1.999999999999993450e-01,-2.080292971108598454e+00,0.000000000000000000e+00
3.809523809523809312e-01,-2.009685224431975499e-17,4.154543610137673149e-01,-1.380939921328877551e-01,0.000000000000000000e+00
4.285714285714285476e-01,8.367472967213153335e-17,6.439665056698967716e-01,-8.666097917749526758e-01,1.000000000000000000e+00
4.761904761904761640e-01,-1.593841550618777611e-16,8.804318502617207720e-01,-3.432539605528284743e-01,0.000000000000000000e+00
5.238095238095237249e-01,-7.023235038905359417e-17,8.804318502617216602e-01,1.648863442126614065e-01,0.000000000000000000e+00
5.714285714285713969e-01,-3.829123839320274314e-17,6.439665056698966605e-01,-4.034450221011638971e-01,0.000000000000000000e+00
6.190476190476190688e-01,-1.762393027174480307e-17,4.154543610137675924e-01,-1.539731883061360440e+00,0.000000000000000000e+00
6.666666666666666297e-01,-9.028744042097875413e-17,2.000000000000001221e-01,7.379188534792341381e-01,1.000000000000000000e+00
7.142857142857141906e-01,6.013336388157637492e-18,2.416317026026570947e-03,-2.518568600465814766e-01,0.000000000000000000e+00
7.619047619047618625e-01,1.174047969865555508e-16,1.728829949277210509e-01,-2.910255678484610642e-01,0.000000000000000000e+00
8.095238095238095344e-01,-5.861607608042893279e-17,3.219820389055914056e-01,-4.972606410805040511e-01,0.000000000000000000e+00
8.571428571428570953e-01,1.439990027506724152e-16,2.792249056780640171e-01,8.715336109451052304e-02,0.000000000000000000e+00
9.047619047619046562e-01,3.450893057967730983e-17,2.355417553710865974e-01,-6.629705396302242315e-01,1.000000000000000000e+00
9.523809523809523281e-01,-1.318988091806572637e-16,2.089353390198961657e-01,-1.997574680409580916e-01,0.000000000000000000e+00
