v,Lx,Ly,bulk_gap,energy_window,state_index,energy,abs_energy
0.1,10,10,1.5113389222328681,0.4534016766698604,388,-9.388731712119138e-11,9.388731712119138e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,389,-9.388729174675937e-11,9.388729174675937e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,390,-9.363878839370095e-11,9.363878839370095e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,391,-9.363868417655233e-11,9.363868417655233e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,392,-9.363868301517758e-11,9.363868301517758e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,393,-9.363846345413867e-11,9.363846345413867e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,394,-9.346505964569028e-11,9.346505964569028e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,395,-9.346489408678819e-11,9.346489408678819e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,396,-9.346486789253063e-11,9.346486789253063e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,397,-9.346485632052533e-11,9.346485632052533e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,398,-4.1048461363357e-16,4.1048461363357e-16
0.1,10,10,1.5113389222328681,0.4534016766698604,399,-1.6380307836034317e-16,1.6380307836034317e-16
0.1,10,10,1.5113389222328681,0.4534016766698604,400,1.789500339494069e-17,1.789500339494069e-17
0.1,10,10,1.5113389222328681,0.4534016766698604,401,3.791641179525239e-16,3.791641179525239e-16
0.1,10,10,1.5113389222328681,0.4534016766698604,402,9.34646990824102e-11,9.34646990824102e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,403,9.346475189922789e-11,9.346475189922789e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,404,9.346485085019319e-11,9.346485085019319e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,405,9.346487890717365e-11,9.346487890717365e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,406,9.363858819737837e-11,9.363858819737837e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,407,9.363860249870671e-11,9.363860249870671e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,408,9.363868364721652e-11,9.363868364721652e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,409,9.363871245455394e-11,9.363871245455394e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,410,9.388719222072373e-11,9.388719222072373e-11
0.1,10,10,1.5113389222328681,0.4534016766698604,411,9.388736416855811e-11,9.388736416855811e-11
0.2,10,10,1.3147228770131711,0.39441686310395135,387,-9.275087053526767e-08,9.275087053526767e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,388,-9.275087047073429e-08,9.275087047073429e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,389,-9.275087027434349e-08,9.275087027434349e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,390,-9.21131432596722e-08,9.21131432596722e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,391,-9.211314320999075e-08,9.211314320999075e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,392,-9.21131431631253e-08,9.21131431631253e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,393,-9.2113142809041e-08,9.2113142809041e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,394,-9.161366483538511e-08,9.161366483538511e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,395,-9.161366467603071e-08,9.161366467603071e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,396,-9.161366459825629e-08,9.161366459825629e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,397,-9.161366449398272e-08,9.161366449398272e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,398,-3.082306658688173e-14,3.082306658688173e-14
0.2,10,10,1.3147228770131711,0.39441686310395135,399,-3.025132657465539e-14,3.025132657465539e-14
0.2,10,10,1.3147228770131711,0.39441686310395135,400,3.0282004944158704e-14,3.0282004944158704e-14
0.2,10,10,1.3147228770131711,0.39441686310395135,401,3.0549111681892606e-14,3.0549111681892606e-14
0.2,10,10,1.3147228770131711,0.39441686310395135,402,9.161366432540955e-08,9.161366432540955e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,403,9.16136645073944e-08,9.16136645073944e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,404,9.161366458028483e-08,9.161366458028483e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,405,9.161366488951991e-08,9.161366488951991e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,406,9.211314307486527e-08,9.211314307486527e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,407,9.211314321581013e-08,9.211314321581013e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,408,9.211314326277311e-08,9.211314326277311e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,409,9.211314361148414e-08,9.211314361148414e-08
0.2,10,10,1.3147228770131711,0.39441686310395135,410,9.275087053630435e-08,9.275087053630435e-08
0.3,10,10,1.1190422434238938,0.3357126730271681,388,-5.04809478002629e-06,5.04809478002629e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,389,-5.048094779922647e-06,5.048094779922647e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,390,-4.982406817732059e-06,4.982406817732059e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,391,-4.982406817728555e-06,4.982406817728555e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,392,-4.982406817696746e-06,4.982406817696746e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,393,-4.982406817314331e-06,4.982406817314331e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,394,-4.92251937165615e-06,4.92251937165615e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,395,-4.922519371392458e-06,4.922519371392458e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,396,-4.922519371314752e-06,4.922519371314752e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,397,-4.922519371278456e-06,4.922519371278456e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,398,-9.130789397923243e-11,9.130789397923243e-11
0.3,10,10,1.1190422434238938,0.3357126730271681,399,-9.130741516177903e-11,9.130741516177903e-11
0.3,10,10,1.1190422434238938,0.3357126730271681,400,9.130718625087243e-11,9.130718625087243e-11
0.3,10,10,1.1190422434238938,0.3357126730271681,401,9.130827334875593e-11,9.130827334875593e-11
0.3,10,10,1.1190422434238938,0.3357126730271681,402,4.922519371287064e-06,4.922519371287064e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,403,4.922519371397792e-06,4.922519371397792e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,404,4.9225193715008615e-06,4.9225193715008615e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,405,4.9225193715181215e-06,4.9225193715181215e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,406,4.982406817522763e-06,4.982406817522763e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,407,4.982406817639626e-06,4.982406817639626e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,408,4.982406817827204e-06,4.982406817827204e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,409,4.982406818187247e-06,4.982406818187247e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,410,5.048094779970922e-06,5.048094779970922e-06
0.3,10,10,1.1190422434238938,0.3357126730271681,411,5.048094780034529e-06,5.048094780034529e-06
0.4,10,10,0.9247395985822477,0.2774218795746743,388,-8.250915034780053e-05,8.250915034780053e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,389,-8.250915034705179e-05,8.250915034705179e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,390,-8.078069528148371e-05,8.078069528148371e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,391,-8.078069528122452e-05,8.078069528122452e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,392,-8.078069528119869e-05,8.078069528119869e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,393,-8.078069528071565e-05,8.078069528071565e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,394,-7.88686739100006e-05,7.88686739100006e-05
0.4,10,10,0.9247395985822477,0.2774218795746743,395,-7.886867390982938e-05,7.886867390982938e-05
