v,Lx,Ly,matrix_size,E_valence,E_conduction,gap
0.5,5,5,100,-0.08645976074693922,-0.06686096883006099,0.01959879191687823
0.6,5,5,100,-0.07926882261223313,-0.059911975130847395,0.019356847481385733
0.7,5,5,100,-0.1076035871413654,-0.049352022388068115,0.05825156475329729
0.8,5,5,100,-0.16273092689956298,-0.06417179162215379,0.09855913527740919
