v,state_index,energy,W_corner,W_edge,W_bulk,IPR
0.5,46,-0.09697773547521589,0.047808196788974744,0.8038543920385229,0.14833741117250224,0.09877242978089253
0.5,47,-0.09697773547521565,0.030332564026097422,0.8169862745725521,0.15268116140135118,0.09955601584366042
0.5,48,-0.08645976074693985,0.1843384793775067,0.6765492659319875,0.13911225469050623,0.09215208212264946
0.5,49,-0.08645976074693922,0.08329053333052557,0.7617272627798558,0.1549822038896188,0.09843244862853327
0.5,50,-0.06686096883006099,0.13973173421209484,0.7109554858914743,0.14931277989643182,0.0921118830697594
0.5,51,-0.0668609688300603,0.13973173421209711,0.7109554858914718,0.1493127798964309,0.09211188306975923
0.5,52,-0.018250525318511394,0.23458173644536878,0.6015268239950133,0.1638914395596189,0.06268016509858539
0.5,53,-0.018250525318511103,0.23458173644536823,0.6015268239950133,0.16389143955961877,0.06268016509858465
0.6,46,-0.10695551438932328,0.16055435720375438,0.6322116897554565,0.20723395304078907,0.09058193353346276
0.6,47,-0.10695551438932327,0.10113039188889801,0.6798915164121287,0.21897809169897423,0.09331403952895573
0.6,48,-0.07926882261223318,0.044069324972449,0.7247371251710181,0.23119354985653306,0.09085033331769796
0.6,49,-0.07926882261223313,0.03666296692317727,0.7278353556961495,0.23550167738067335,0.09111148339145685
0.6,50,-0.059911975130847395,0.23072014279028238,0.5644897270630538,0.204790130146664,0.06122119137505126
0.6,51,-0.059911975130847124,0.23072014279028294,0.5644897270630533,0.20479013014666425,0.061221191375051394
0.6,52,-0.05778408425185618,0.1425803725721418,0.6452733091414756,0.21214631828638253,0.08679127756396972
0.6,53,-0.057784084251855904,0.14258037257213796,0.6452733091414782,0.2121463182863843,0.08679127756396984
0.7,46,-0.1373540529657512,0.10714621146669784,0.6049036629289989,0.2879501256043029,0.08292119658556706
0.7,47,-0.13735405296575115,0.13957230042334257,0.5791158753171624,0.28131182425949514,0.08159543498629944
0.7,48,-0.10760358714136581,0.21939001170467637,0.5337721385433357,0.246837849751988,0.058763566411191015
0.7,49,-0.1076035871413654,0.21939001170467928,0.5337721385433343,0.24683784975198675,0.0587635664111899
0.7,50,-0.049352022388068115,0.03956613638859126,0.6368994587733658,0.3235344048380426,0.07813433106350512
0.7,51,-0.04935202238806796,0.0416059855013299,0.6383405393343817,0.3200534751642877,0.07806354522303252
0.7,52,-0.03523139188835054,0.1426312680818423,0.5823539889239798,0.2750147429941768,0.07564398954764087
0.7,53,-0.035231391888350505,0.1426312680818424,0.5823539889239795,0.2750147429941773,0.07564398954764089
0.8,46,-0.18046481037880066,0.10381118322836426,0.5419009691414949,0.35428784763014104,0.07374555488011872
0.8,47,-0.18046481037880058,0.12135023233259057,0.5273300264846066,0.35131974118280357,0.07296277446051845
0.8,48,-0.16273092689956348,0.20348089770167838,0.5104095374707562,0.2861095648275653,0.05650372463536604
0.8,49,-0.16273092689956298,0.2034808977016763,0.5104095374707571,0.28610956482756666,0.05650372463536712
0.8,50,-0.06417179162215379,0.27236919316417685,0.5850143116103944,0.14261649522542946,0.04996113375747142
0.8,51,-0.00569658375038858,0.039732950885436956,0.555120904391365,0.40514614472319765,0.06773270957162932
0.8,52,-0.005696583750387763,0.03970422269264397,0.557265940999575,0.40302983630778083,0.06771904605349756
0.8,53,0.0018155332372999607,0.13941951608103031,0.5308633586656704,0.329717125253299,0.06561022033093837
