state_index,energy
0,-1.6500150373285474
1,-1.639330930328955
2,-1.6393309303289547
3,-1.6386580570340634
4,-1.6386580570340632
5,-1.6384836180688787
6,-1.6384836180688775
7,-1.6341984185906226
8,-1.6341984185906206
9,-1.6189859472289954
10,-1.505986556568338
11,-1.470382660797354
12,-1.4703826607973527
13,-1.4653105857773738
14,-1.465310585777373
15,-1.4435209316171336
16,-1.4435209316171331
17,-1.439981687764248
18,-1.4399816877642475
19,-1.3825070656623628
20,-1.2875079842154702
21,-1.2264168216297322
22,-1.226416821629731
23,-1.150188355866111
24,-1.1501883558661101
25,-1.1491849560456746
26,-1.1491849560456726
27,-1.12238819432678
28,-1.1223881943267788
29,-1.040141712905046
30,-1.0097214678905708
31,-0.8084694928060909
32,-0.8084694928060905
33,-0.8084657869169656
34,-0.8084657869169656
35,-0.75848186596575
36,-0.7584818659657487
37,-0.704693190757408
38,-0.7046931907574072
39,-0.5308300260037732
40,-0.3086052479293665
41,-0.30098128632727916
42,-0.3009812863272783
43,-0.2913947520706345
44,-0.14662145707738314
45,-0.14662145707738244
46,-0.1373540529657512
47,-0.13735405296575115
48,-0.10760358714136581
49,-0.1076035871413654
50,-0.049352022388068115
51,-0.04935202238806796
52,-0.03523139188835054
53,-0.035231391888350505
54,0.007008395863191172
55,0.0070083958631912795
56,0.015370323453429377
57,0.13871297802208254
58,0.13871297802208402
59,0.44014171290504583
60,0.5102805179581134
61,0.5102805179581137
62,0.5339982471254702
63,0.5339982471254704
64,0.5426955562935993
65,0.5426955562936006
66,0.5846296765465699
67,0.6875079842154691
68,0.77061781733681
69,0.7706178173368102
70,0.804855285051858
71,0.8048552850518584
72,0.9059865565683392
73,0.9468443058467084
74,0.9468443058467088
75,0.9686656794358036
76,0.968665679435804
77,1.0500150373285482
78,1.1308300260037727
79,1.3201290693201224
80,1.3201290693201226
81,1.4211000166786742
82,1.4211000166786747
83,1.6097214678905702
84,1.621526043954495
85,1.621526043954495
86,1.6911988189200169
87,1.6911988189200178
88,1.815289657308358
89,1.8152896573083588
90,1.8219186952549065
91,1.8219186952549082
92,1.8725049530675066
93,1.8725049530675075
94,1.9778524910108846
95,1.9778524910108846
96,1.982507065662363
97,2.110100823632727
98,2.1101008236327283
99,2.218985947228995
