state_index,energy
0,-1.5588761805168956
1,-1.5479284566406835
2,-1.5479284566406828
3,-1.5469888974020374
4,-1.546988897402037
5,-1.5467398451228305
6,-1.5467398451228294
7,-1.5403040288651166
8,-1.5403040288651166
9,-1.522498797093017
10,-1.4417031268223321
11,-1.4075012367548225
12,-1.4075012367548225
13,-1.400981166008412
14,-1.4009811660084115
15,-1.3682593940057586
16,-1.3682593940057584
17,-1.3626014393538102
18,-1.3626014393538097
19,-1.2961198650295436
20,-1.2693495583702104
21,-1.2163533052316926
22,-1.2163533052316917
23,-1.1079230098268316
24,-1.1079230098268316
25,-1.1056685632610401
26,-1.1056685632610397
27,-1.0887339703052674
28,-1.0666459478060548
29,-1.0666459478060548
30,-0.938537522956988
31,-0.8205340911765728
32,-0.8205340911765722
33,-0.8203932325023203
34,-0.8203932325023201
35,-0.7582029747464349
36,-0.7582029747464337
37,-0.6739829637281264
38,-0.6739829637281245
39,-0.4760972731213438
40,-0.30221135824049195
41,-0.3000864640377037
42,-0.30008646403770367
43,-0.2977886417595068
44,-0.1228648070526286
45,-0.12286480705262853
46,-0.10695551438932328
47,-0.10695551438932327
48,-0.07926882261223318
49,-0.07926882261223313
50,-0.059911975130847395
51,-0.059911975130847124
52,-0.05778408425185618
53,-0.057784084251855904
54,0.005536270880565183
55,0.005536270880565969
56,0.08881918189911756
57,0.18617205650119373
58,0.18617205650119492
59,0.4887339703052678
60,0.5111808181008828
61,0.5352090565375716
62,0.5352090565375717
63,0.5502223126939683
64,0.5502223126939684
65,0.555630507668401
66,0.5556305076684015
67,0.6693495583702112
68,0.7334842085814758
69,0.7334842085814758
70,0.7601346985877595
71,0.7601346985877598
72,0.8417031268223321
73,0.8924475368762878
74,0.8924475368762884
75,0.8979172383558215
76,0.8979172383558216
77,0.958876180516896
78,1.0760972731213436
79,1.2547717324533005
80,1.2547717324533008
81,1.354678485032994
82,1.3546784850329945
83,1.5384693367234357
84,1.5384693367234359
85,1.5385375229569875
86,1.6093906623584318
87,1.6093906623584318
88,1.720088107738397
89,1.720088107738398
90,1.740257604987112
91,1.740257604987113
92,1.7793076137816877
93,1.7793076137816883
94,1.8867156388893853
95,1.8867156388893866
96,1.896119865029543
97,2.0174471512593373
98,2.0174471512593386
99,2.1224987970930167
