state_index,energy
0,-1.7426358393947146
1,-1.7326002807261338
2,-1.7326002807261316
3,-1.7321158123299034
4,-1.7321158123299027
5,-1.73199176657375
6,-1.7319917665737476
7,-1.729017001723776
8,-1.729017001723774
9,-1.7158772897371977
10,-1.5761986152378453
11,-1.5414228388692817
12,-1.5414228388692812
13,-1.537631792804292
14,-1.5376317928042904
15,-1.5226998934218576
16,-1.5226998934218565
17,-1.5203985824546533
18,-1.5203985824546529
19,-1.4705826689652433
20,-1.318590984426212
21,-1.2548499353510902
22,-1.25484993535109
23,-1.2022222621556036
24,-1.2022222621556033
25,-1.2017670971743237
26,-1.2017670971743233
27,-1.1830623471037003
28,-1.1830623471037
29,-1.0850788552814348
30,-1.0085465567648735
31,-0.8143863146928466
32,-0.8143863146928456
33,-0.814386314567683
34,-0.8143863145676823
35,-0.7753527031517413
36,-0.7753527031517411
37,-0.7422110514148655
38,-0.7422110514148654
39,-0.5945452676755428
40,-0.32351834818179204
41,-0.30577282243472054
42,-0.30577282243471976
43,-0.2764816518182074
44,-0.18565079207068014
45,-0.1856507920706797
46,-0.18046481037880066
47,-0.18046481037880058
48,-0.16273092689956348
49,-0.16273092689956298
50,-0.06417179162215379
51,-0.00569658375038858
52,-0.005696583750387763
53,0.0018155332372999607
54,0.0018155332373007013
55,0.02396488247812481
56,0.02396488247812505
57,0.09714909811466166
58,0.0971490981146618
59,0.408546556764873
60,0.5048237040968037
61,0.5048237040968038
62,0.5387644386124943
63,0.5387644386124947
64,0.5514113639239854
65,0.5514113639239862
66,0.6641717916221537
67,0.7185909844262122
68,0.8183086521306834
69,0.8183086521306836
70,0.8592336301124799
71,0.8592336301124801
72,0.9761986152378452
73,1.0076975566161728
74,1.0076975566161732
75,1.0488579736063548
76,1.0488579736063548
77,1.1426358393947147
78,1.1945452676755426
79,1.391169501446552
80,1.391169501446552
81,1.4928564056468532
82,1.4928564056468534
83,1.6850788552814344
84,1.7069448681390513
85,1.706944868139052
86,1.7755832812705312
87,1.775583281270532
88,1.9060642332466127
89,1.9060642332466136
90,1.911123408302234
91,1.9111234083022353
92,1.96670859083485
93,1.9667085908348523
94,2.070275865481734
95,2.0702758654817353
96,2.0705826689652427
97,2.203678942752164
98,2.2036789427521657
99,2.3158772897371964
