ky,nu_1,nu_2,nu_3,nu_4
-3.141592653589793,0.25616093920219385,0.3779586079095025,0.6369056851494619,0.7289747677388416
-3.0793828980731637,0.21482912336120588,0.4007516920132599,0.5821365737129471,0.8022826109125863
-3.017173142556534,0.1738995573213907,0.23317357139105033,0.7487151427320202,0.8442117285555387
-2.9549633870399044,0.11791679522894398,0.4032665043995555,0.5973122900428758,0.8815044103286244
-2.892753631523275,0.18028630646269225,0.3002047900263608,0.7087840510385881,0.810724852472359
-2.8305438760066455,0.06674957700229188,0.1960471926295227,0.8366182796411608,0.9005849507270249
-2.7683341204900156,0.15852079456920704,0.27727428317696456,0.7257038682835384,0.8385010539702902
-2.706124364973386,0.09358617217755316,0.30881146486149363,0.6903784713426007,0.9072238916183525
-2.6439146094567567,0.25157162614694356,0.2861603309897145,0.7189629201907999,0.7433051226725416
-2.581704853940127,0.0663959193329821,0.1994326436935497,0.7899623839239872,0.9442090530494807
-2.5194950984234974,0.25815884156258123,0.349338341519446,0.6484712664223471,0.7440315504956259
-2.457285342906868,0.09198081841825244,0.3051486767731998,0.6895449217599039,0.9133255830486438
-2.395075587390238,0.19501201485714617,0.2922338357612548,0.7243149512015373,0.7884391981800623
-2.3328658318736086,0.1411481010915181,0.1742816108115642,0.8193957975702503,0.8651744905266678
-2.270656076356979,0.16499540682833222,0.24632681916017843,0.7491975226758696,0.8394802513356195
-2.2084463208403498,0.21158632357741375,0.3594570329471346,0.6616131605688255,0.7673434829066267
-2.1462365653237203,0.21875959424995275,0.30146647617700184,0.6912522489132666,0.7885216806597789
-2.0840268098070904,0.1906142527623726,0.3115539226571131,0.7010167642590597,0.7968150603214548
-2.021817054290461,0.21855403118031588,0.38412762137329376,0.615502820399455,0.7818155270469358
-1.9596072987738313,0.24428051800099518,0.391698753056448,0.6135442099969839,0.7504765189455728
-1.897397543257202,0.13295954981916192,0.2973991553666351,0.6856934436228145,0.8839478511913889
-1.8351877877405722,0.19248120186428813,0.24375220151021645,0.764659109375672,0.7991074872498241
-1.7729780322239428,0.08032144339035745,0.3995839700649378,0.6033163140419777,0.9167782725027278
-1.7107682767073131,0.13969774749661854,0.2583813527571009,0.745886969773922,0.8560339299723584
-1.6485585211906835,0.2620166023480675,0.42842336348410853,0.5849970881766445,0.7245629459911789
-1.586348765674054,0.2571782431951101,0.30927768566336744,0.6998626524928522,0.7336814186486693
-1.5241390101574244,0.14303373433100966,0.24707976854120997,0.7565250552279604,0.8533614418998199
-1.461929254640795,0.2792383332818676,0.3070856922270181,0.6857061560096196,0.7279698184814949
-1.3997194991241653,0.19774967696221266,0.27871689372897435,0.7191465717347454,0.8043868575740669
-1.3375097436075358,0.18488521794258744,0.3037568478464636,0.6877838618543011,0.823574072356648
-1.2752999880909062,0.25064681397986016,0.3215964398095209,0.6698982543245973,0.7578584918860221
-1.2130902325742767,0.2585180096120673,0.39192572420876653,0.6086754335841275,0.7408808325950389
-1.150880477057647,0.07825785133590323,0.24398030727056647,0.7548319883374401,0.9229298530560897
-1.0886707215410176,0.10432734879079979,0.3229569618864338,0.6797593699727955,0.892956319349971
-1.0264609660243877,0.1826705084786496,0.3132824965850867,0.6949015755930663,0.8091454193431972
-0.9642512105077583,0.22868477094833198,0.41004890104267244,0.5847992859262738,0.7764670420827214
-0.9020414549911289,0.19155324829468193,0.3494595192959772,0.648726369450571,0.8102608629587704
-0.8398316994744994,0.4148174037487801,0.46344269202358146,0.5389505993144597,0.5827893049131794
-0.7776219439578695,0.16029078901266028,0.34612367762779234,0.6602449118097072,0.8333406215498407
-0.7154121884412401,0.22182200746978212,0.42029293328977824,0.5791825167227328,0.7787025425177067
-0.6532024329246107,0.1966084561766483,0.3755228727057402,0.6197436069368647,0.8081250641807467
-0.5909926774079808,0.21776179115487157,0.32367505145894676,0.6773140132899668,0.7812491440962146
-0.5287829218913513,0.2509136424944003,0.3293159478608141,0.6737237378858807,0.7460466717589058
-0.4665731663747219,0.20814795851814033,0.43753467769797144,0.5663806320013252,0.7879367317825621
-0.40436341085809246,0.22689162973701835,0.26272472706804606,0.740461339080992,0.7699223041139442
-0.3421536553414626,0.2999021649681784,0.3316548301225747,0.664384666922664,0.7040583379865828
-0.27994389982483314,0.24256689974687856,0.3261169387947188,0.6751645217248414,0.7561516397335609
-0.2177341443082037,0.32613790681685617,0.39565281594896845,0.6114598641197457,0.6667494131144298
-0.15552438879157382,0.3075285509561332,0.3369871101483653,0.6635802343110606,0.6919041045844403
-0.09331463327494438,0.25005699644883983,0.3087376103071951,0.688975444776049,0.7522299484679161
-0.03110487775831494,0.298569036683939,0.36995288287705674,0.6298400634837613,0.7016380169552435
0.031104877758314498,0.15826341909058084,0.29006677277890497,0.7066366667793478,0.8450331413511663
0.09331463327494438,0.12151516443002462,0.2981624441430052,0.7022798887009223,0.8780425027260486
0.15552438879157382,0.2447073703165256,0.3897763380467626,0.6051931122625052,0.7603231793742067
0.21773414430820326,0.08095386101926805,0.09958230378221009,0.9066839627810035,0.9127798724175183
0.2799438998248327,0.15635521201420557,0.26397345121179505,0.7319392503090748,0.8477320864649247
0.3421536553414626,0.2334264775497815,0.2602474132079325,0.739398150861913,0.7669279583803728
0.404363410858092,0.35616704851211306,0.45868695434931084,0.5577071114914919,0.6274388856470845
0.46657316637472146,0.17105903051707017,0.3022122194789169,0.6933295501932717,0.8333991998107405
0.5287829218913513,0.1454118929031922,0.24776545186154583,0.7538549436313139,0.8529677116039479
0.5909926774079808,0.13585066038082305,0.2064901997861072,0.7922003770045852,0.8654587628284844
0.6532024329246102,0.19033804191335302,0.22652043257450177,0.7807050187164872,0.8024365067956581
0.7154121884412397,0.2775454029433949,0.32347830005222084,0.6736754833834582,0.725300813620926
0.7776219439578695,0.12660102604398416,0.15664581118439125,0.8330595392442898,0.8836936235273346
0.839831699474499,0.326747913656778,0.3870586992586827,0.5990163509093883,0.6871770361751512
0.9020414549911289,0.17692617383046688,0.19682296969647636,0.7925446040807719,0.8337062523922845
0.9642512105077579,0.09857904255093783,0.33761507063573987,0.6672746166819287,0.8965312701313938
1.0264609660243877,0.12629971397422401,0.18575667854071867,0.8155542687188397,0.8723893387662176
1.0886707215410176,0.13010782322715833,0.21682740800274805,0.7727104699838934,0.8803542987862006
1.1508804770576466,0.23933009786211784,0.37351403135444144,0.6346993634357329,0.7524565073477083
1.2130902325742765,0.18048112676256112,0.3084717382891582,0.6929404828380157,0.8181066521102642
1.2752999880909055,0.13194255740852903,0.1774976432842824,0.817886722017166,0.8726730772900235
1.3375097436075354,0.08440403306917502,0.21452752690640187,0.7904470473114653,0.9106213927129584
1.3997194991241653,0.20335945755443224,0.2687096615192149,0.7388263588562787,0.789104522070074
1.4619292546407943,0.1763684371093416,0.43536872622563155,0.564376973946671,0.8238858627183564
1.5241390101574241,0.17305154518377758,0.2676565197787949,0.7285045326582846,0.8307874023791433
1.586348765674054,0.06579981272150123,0.16453437019469555,0.8449904714936135,0.9246753455901889
1.648558521190683,0.21185198755995205,0.35177370809402414,0.6510272136402959,0.7853470907057281
1.710768276707313,0.1241880264403397,0.3625954816662007,0.6370343825568545,0.8761821093366058
1.7729780322239428,0.23146746281262376,0.3409355469987789,0.6553403378829248,0.7722566523056729
1.8351877877405718,0.16737281826503247,0.23768493422521378,0.7699628250269042,0.8249794224828505
1.8973975432572017,0.29580298832254903,0.37031341092630404,0.635185524647504,0.6986980761036434
1.9596072987738316,0.20515606980411027,0.2743945179376632,0.6840588397152467,0.8363905725429799
2.0218170542904605,0.08900037188742714,0.4413286484686509,0.5540898366712644,0.9155811429726577
2.0840268098070904,0.11553112575083924,0.35829297972294694,0.6504251078333879,0.8757507866928272
2.1462365653237194,0.019823248138287883,0.22801176611509208,0.7667364958914733,0.9854284898551467
2.2084463208403493,0.2716371197475529,0.44784671167810863,0.5589273684051939,0.7215888001691444
2.270656076356979,0.19011918729512312,0.286519838409923,0.7310501424818188,0.7923108318131353
2.332865831873608,0.09117882968995233,0.2665858088235408,0.7506643675479703,0.8915709939385369
2.395075587390238,0.17465158311420625,0.35021204468951334,0.6425905229891322,0.8325458492071487
2.457285342906868,0.21793519633607827,0.26095318311406807,0.7497622856799084,0.7713493348699452
2.519495098423497,0.17718713615376339,0.35905896076645577,0.6362474539963487,0.827506449083432
2.581704853940127,0.18644810305105353,0.22105064842276095,0.7538246631540846,0.8386765853721009
2.6439146094567567,0.1368501868051141,0.3767704743150402,0.6446691133817501,0.8417102254980948
2.7061243649733857,0.23236820700168803,0.314501708793152,0.6607598597396519,0.7923702244655088
2.7683341204900156,0.10750031063784067,0.41293291671901977,0.5804579297037971,0.8991088429393425
2.8305438760066455,0.11005536327085619,0.2924991381736383,0.7016884485236031,0.8957570500319022
2.8927536315232745,0.17922581377243865,0.27618127106085544,0.7453123285600946,0.7992805866066115
2.9549633870399044,0.04475215848055383,0.3388991065965181,0.6590440872694592,0.9573046476534687
3.0171731425565333,0.207547555352077,0.42054655467528285,0.5871376776123767,0.7847682123602632
3.0793828980731632,0.3130580898364857,0.4149048751068223,0.5837748888215584,0.6882621462351336
