v,nk,C_up,C_down,C_spin,C_up_rounded,C_down_rounded,integer_error_up,integer_error_down
0.8,41,1.0000000000000002,-1.0000000000000002,1.0000000000000002,1,-1,2.220446049250313e-16,2.220446049250313e-16
0.8,61,1.0,-0.9999999999999999,1.0,1,-1,0.0,1.1102230246251565e-16
0.8,81,1.0,-1.0,1.0,1,-1,0.0,0.0
1.0,41,1.0,-1.0000000000000002,1.0,1,-1,0.0,2.220446049250313e-16
1.0,61,1.0000000000000002,-1.0000000000000002,1.0000000000000002,1,-1,2.220446049250313e-16,2.220446049250313e-16
1.0,81,0.9999999999999998,-0.9999999999999999,0.9999999999999998,1,-1,2.220446049250313e-16,1.1102230246251565e-16
