v,n_occ,min_direct_gap,gap_kx,gap_ky,reliable_gap
0.5,4,0.1999999999999995,-3.141592653589793,-3.141592653589793,1
0.8,4,0.3365025737488163,-3.141592653589793,-2.892753631523275,1
1.0,4,0.1859997513291732,-3.141592653589793,-0.03110487775831494,1
