ky,branch_1,branch_2,branch_3,branch_4
0.0,0.16281305177359967,0.39374589300424123,0.6058142491783984,0.8376268060437609
0.06283185307179587,0.20824872016650647,0.6709672806422655,0.3274082080357486,0.7933757911554795
0.12566370614359174,-0.15716442802815606,0.6578267661286006,0.34173706626925476,1.1576005956303004
0.1884955592153876,0.3375972733277876,0.5614560952137788,0.44724829512309633,1.6536983363353366
0.25132741228718347,0.18731025594835343,0.7487123689667847,0.24034753611480725,1.8236298389700547
0.3141592653589793,0.5737125851091234,1.1677684506321315,-0.16423244717176272,1.4227514114305078
0.3769911184307752,0.5947518602400177,1.6377468175389502,-0.5967036411264157,1.3642049633474473
0.4398229715025711,0.2070508929987549,1.846220126300202,-0.8441766207554942,1.790905601456538
0.5026548245743669,-0.274503596460995,1.7917824328022642,-0.7892545787847414,2.271975742443473
0.5654866776461628,-0.7676120297602941,2.143733282145526,-1.1422461337904728,2.7661248814052417
0.6283185307179586,-0.6588418624135413,2.3814642514171744,-1.3835410655951415,2.6609186765915096
0.6911503837897546,-1.0547013855934715,2.192594482687184,-1.201143357900566,3.063250260806854
0.7539822368615504,-0.8414227109293569,2.3304438736144713,-1.3293675760437522,2.8403464133586387
0.8168140899333463,-0.7736970818008851,2.6954601879865434,-1.694283469973501,2.7725203637878435
0.8796459430051422,-0.84033542285982,2.2544420636002087,-1.2541434732888195,2.8400368325484306
0.942477796076938,-0.836341600986999,2.2648126145858902,-1.2640535703305347,2.8355825567316435
1.0053096491487339,-0.6792051455984908,2.4139996966283155,-1.4088269309861943,2.67403237995637
1.0681415022205298,-0.21776700432201268,2.101706036531442,-1.0970506292610882,2.2131115970516597
1.1309733552923256,-0.3204446399776816,2.1613712318044715,-1.1699319374589048,2.329005345632115
1.1938052083641215,-0.7724206945252798,2.3259196010446703,-1.3286381226458333,2.775139216126443
1.2566370614359172,-0.8399570875859341,2.148706994239122,-1.1345023109464794,2.8257524042932918
1.3194689145077132,-1.1425488472573924,1.7443622394835625,-0.8525391035313152,3.2507257113051446
1.3823007675795091,-1.3239820212343303,1.2620343989596523,-0.6573129124587698,3.719260534733448
1.4451326206513049,-1.75144735719284,0.7776594197999027,-0.31036835495744586,3.2841562923503833
1.5079644737231008,-1.7874320473305065,0.7987347009963893,-0.2688502860053281,3.2575476323394446
1.5707963267948968,-1.8438648738136563,0.784887961418397,-0.15170715372542343,3.2106840661206824
1.6336281798666925,-1.6750163552620196,0.6784346140274726,-0.19239138750669382,3.1889731287412406
1.6964600329384885,-1.7695352065781744,0.7568922368598874,0.15856490274565072,2.8540780669726353
1.7592918860102844,-2.2149968036826735,1.1917242068427178,-0.2868394059864977,3.310112002826453
1.8221237390820801,-1.768919705419758,0.7723586947782224,-0.7027799914360682,3.6993410020776034
1.884955592153876,-2.264831954648108,0.2781757371851703,-0.6186146951150001,3.605270912577937
1.9477874452256718,-1.8801874169044084,-0.11694797761198439,-0.2508056934189059,3.2479410879352986
2.0106192982974678,-2.228130665896661,0.23355291383742127,0.15702445415317845,2.8375532979060605
2.0734511513692637,-2.243681826076451,0.20494962704345243,0.25754484235436004,2.7811873566786383
2.1362830044410597,-2.5783059560508694,0.3357823422899211,0.5991910393869865,2.643332574373961
2.199114857512855,-2.305873555981292,0.10326371625604469,0.8904941708455888,2.3121156688796587
2.261946710584651,-2.6902419427528845,0.16003027049971064,0.7990341508150469,2.7311775214381266
2.324778563656447,-2.6508584235934505,-0.19734373043128295,1.1981541838020437,2.6500479702226887
2.387610416728243,-2.852050438265875,0.07413163656646116,0.9250238114209217,2.8528949902784917
2.450442269800039,-3.0548142192317163,-0.34081067533889786,1.3306126749966993,3.065012219573914
2.5132741228718345,-3.2451057438306012,-0.2834314061513671,1.2772233677905633,3.2513137821914038
2.5761059759436304,-3.1703686730865703,-0.27183861969804324,1.2666533227712662,3.175553970013347
2.6389378290154264,-2.7846884974614876,-0.7475196854471775,1.7412247075442813,2.790983475364383
2.7017696820872223,-3.2681162265363533,-0.42900856020289657,1.4263506635210106,3.2707741232182395
2.7646015351590183,-3.716109512690125,-0.3349942295826236,1.324438700542283,3.726665041730465
2.8274333882308142,-4.114397184422695,-0.250937258326446,1.21567647655827,4.149657966190871
2.8902652413026098,-4.381861390664466,-0.23292847292406338,1.2328069105177848,4.381982953070744
2.9530970943744057,-4.224236136746612,-0.5867463031492101,1.5901486158633813,4.2208338240324395
3.0159289474462017,-3.8042471906632813,-0.2955672228175664,1.2687791470964114,3.8310352663844354
3.0787608005179976,-4.237506473376376,0.15395273761021766,0.8424776161280794,4.241076119638079
3.141592653589793,-4.244228755589843,0.17433166883391704,0.8053303543023244,4.264566732453599
