v,t,lm,gap,chern,Wilson_loop,Z2_topology,edge_state,corner_state,is_small_gap,is_chern_jump,chern_jump_axes,max_chern_delta,selection_reason
0.0,0.0,0.5,-7.363859260972749e-16,-6.702605395988921e-17,0.5327187784318699,1,1,0,1,0,0,4.3227888222934927e-16,small_gap
0.0,0.1,0.5,-1.5574709561725398e-15,-4.604860674960462e-17,-0.37580973555342745,0,1,0,1,0,0,3.7928983193768646e-16,small_gap
0.0,0.1,1.0,-1.6,8.149057262942418e-17,-0.011965991469488456,0,1,0,0,1,1,0.9999999999999994,chern_jump
0.0,0.2,0.5,-3.530832067218416e-16,1.6641841791843937e-17,1.4638840399105955,1,1,0,1,0,0,4.710895228551889e-16,small_gap
0.0,0.2,0.7,-0.8000000000000009,1.1260019096960303e-16,0.7482700588622913,1,1,0,0,1,1,1.0,chern_jump
0.0,0.2,0.9,-1.200000000000001,1.6877896747123923e-16,-0.7110865575162242,1,1,0,0,1,1,0.9999999999999998,chern_jump
0.0,0.3,0.5,-1.004296187742555e-15,1.8338134182188512e-17,-0.6340322954321765,1,1,0,1,0,0,1.995283644000773e-16,small_gap
0.0,0.3,0.6,-0.4000000000000008,1.8447954022802034e-16,0.2819671743284119,0,1,0,0,1,1,1.0,chern_jump
0.0,0.3,0.7,-0.7999999999999996,-0.9999999999999999,-1.6338512922109765,0,1,1,0,1,3,1.0000000000000002,chern_jump+corner_candidate
0.0,0.3,0.8,-0.8000000000000003,-1.284020283147841e-16,-0.7160395685985925,1,1,0,0,1,1,0.9999999999999998,chern_jump
0.0,0.4,0.5,-1.1085075567806953e-15,5.676183955366663e-18,0.3347452516789598,0,1,0,1,0,0,4.3018010273582075e-16,small_gap
0.0,0.4,0.7,-0.4000000000000004,1.0771690576482306e-16,0.2895827921257085,0,1,0,0,1,1,1.0,chern_jump
0.0,0.5,0.0,-9.246520377345352e-16,-3.7048668475748467e-16,0.8181682331875754,1,1,0,1,0,0,6.759481041239128e-16,small_gap
0.0,0.5,0.1,-7.886446013010754e-16,-2.407398467897228e-17,-0.056844590910076626,0,1,0,1,0,0,4.655467093276379e-16,small_gap
0.0,0.5,0.2,-4.379148013447344e-16,-1.1033355161495256e-16,0.0930502264234026,0,1,0,1,0,0,2.740282045948235e-16,small_gap
