point_id,v,t,lm,requested_window_low,requested_window_high,used_window_low,used_window_high,selected_state_count,min_selected_energy,max_selected_energy
v_0p30_t_0p60_lm_0p70,0.3,0.6,0.7,-1.5870253938941257,1.7839153417328886,-0.527987520440628,0.5247106224164834,160,-0.527987520440628,0.5247106224164834
v_0p90_t_0p90_lm_1p00,0.9,0.9,1.0,1.7258066380389097,2.1327656912285127,0.5400935402331668,0.5400935402331668,1,0.5400935402331668,0.5400935402331668
v_0p80_t_0p90_lm_0p90,0.8,0.9,0.9,-1.8795681441996963,1.8795681441996963,-0.5379369648007644,0.5379369648007623,160,-0.5379369648007644,0.5379369648007623
v_0p60_t_0p80_lm_0p80,0.6,0.8,0.8,-1.8224626454384938,1.8224626454384953,-0.5358653478026055,0.5358653478025964,160,-0.5358653478026055,0.5358653478025964
v_0p60_t_1p00_lm_0p60,0.6,1.0,0.6,-2.1961592622891826,-1.4871011058795378,-0.33541379658019527,-0.33541379658019527,1,-0.33541379658019527,-0.33541379658019527
v_0p50_t_0p90_lm_0p60,0.5,0.9,0.6,-2.051578159844487,1.3659749535228056,-0.45858324297108916,0.4707653954536903,160,-0.45858324297108916,0.4707653954536903
v_0p10_t_0p70_lm_0p50,0.1,0.7,0.5,-1.75867327260272,1.6555167305380711,-0.4386487190234652,0.43489576100862454,160,-0.4386487190234652,0.43489576100862454
v_0p40_t_1p00_lm_0p50,0.4,1.0,0.5,-2.068024463218502,-1.0579309851487593,-0.361426274165455,-0.361426274165455,1,-0.361426274165455,-0.361426274165455
v_0p50_t_0p60_lm_0p90,0.5,0.6,0.9,-1.3659749535228056,2.051578159844486,-0.47076539545369067,0.4585832429710876,160,-0.47076539545369067,0.4585832429710876
v_0p50_t_0p50_lm_1p00,0.5,0.5,1.0,1.7964040961823888,2.081154600829134,0.29305265667674035,0.29305265667674035,1,0.29305265667674035,0.29305265667674035
v_0p80_t_0p10_lm_0p10,0.8,0.1,0.1,-0.05755296549425264,0.057552965494252865,-0.05755296549425264,0.057552965494252865,128,-0.056172022278500995,0.05617202227850105
v_0p50_t_0p60_lm_0p10,0.5,0.6,0.1,-1.300482064355729,-0.12339579572971812,-0.2988637016987521,-0.12339579572971812,66,-0.2988637016987521,-0.12373344542956435
v_0p10_t_0p50_lm_0p10,0.1,0.5,0.1,-0.35828557792270443,0.37219996321067816,-0.21729273983194694,0.21907903910159257,160,-0.21729273983194694,0.21907903910159257
v_0p50_t_0p10_lm_0p40,0.5,0.1,0.4,-0.04525323040414596,1.0178977724536624,-0.04525323040414596,0.21339740762757822,132,-0.038933957974504725,0.21339740762757822
v_0p40_t_0p50_lm_0p00,0.4,0.5,0.0,-1.1280822979484353,0.03209636647358797,-0.27506377379711155,0.03209636647358797,114,-0.27506377379711155,0.00953890210574452
v_1p00_t_0p00_lm_0p50,1.0,0.0,0.5,0.20867812698199742,1.4306928491260131,0.12772859329078787,0.12772859329078787,1,0.12772859329078787,0.12772859329078787
v_0p80_t_0p00_lm_0p50,0.8,0.0,0.5,0.17674302207370735,1.2640687058530815,0.17674302207370735,0.2109022350841516,26,0.18772925416183142,0.2109022350841516
v_0p10_t_0p40_lm_0p50,0.1,0.4,0.5,-1.3083024982280085,1.4461760664423693,-0.35683032406662485,0.3461409920359667,160,-0.35683032406662485,0.3461409920359667
v_0p40_t_0p20_lm_0p60,0.4,0.2,0.6,-0.24067116941954217,1.3745621129431278,-0.24067116941954217,0.26549536709219057,136,-0.23644873817708015,0.26549536709219057
v_0p10_t_0p50_lm_0p30,0.1,0.5,0.3,-1.3498195736745462,1.0752387582987464,-0.29374622827451313,0.3033979093098541,160,-0.29374622827451313,0.3033979093098541
