point_id,group_id,dim,E_min,E_max,delta_E,best_edge_projection_after,best_corner_projection_after
v_0p60_t_0p90_lm_0p80,0,2,-0.6371998099697214,-0.6371998099697204,9.992007221626409e-16,0.461897981467963,0.19950756923601023
v_0p60_t_0p90_lm_0p80,1,6,-0.6168183593134172,-0.6083445103930966,0.008473848920320659,0.5302296487077696,0.17005177372710473
v_0p60_t_0p90_lm_0p80,2,6,-0.5868146838200247,-0.5844888942931035,0.002325789526921196,0.42943339966378413,0.200698505856676
v_0p60_t_0p90_lm_0p80,3,6,-0.5714523582825772,-0.5648921302045161,0.006560228078061114,0.5708611332831526,0.10579829407782158
v_0p60_t_0p90_lm_0p80,4,2,-0.5474533749129691,-0.5474533749129661,2.9976021664879227e-15,0.41102013782226576,0.0677504300520365
v_0p60_t_0p90_lm_0p80,5,2,-0.5395252227220381,-0.5395252227220346,3.4416913763379853e-15,0.4115991455837238,0.25318611752492526
v_0p60_t_0p90_lm_0p80,6,6,-0.5157902033595154,-0.510740419787946,0.005049783571569377,0.5499923225325706,0.11765810432881638
v_0p60_t_0p90_lm_0p80,7,4,-0.49381163538352696,-0.49318028118057256,0.0006313542029544039,0.32168460305509156,0.05014277454668116
v_0p60_t_0p90_lm_0p80,8,2,-0.48505132031981,-0.48505132031980763,2.3869795029440866e-15,0.3747007960681503,0.2047742203802423
v_0p60_t_0p90_lm_0p80,9,2,-0.4656505530018604,-0.4656505530018548,5.6066262743570405e-15,0.5542371117459064,0.12694634863085671
v_0p60_t_0p90_lm_0p80,10,4,-0.44543866898075196,-0.44159169649488056,0.0038469724858714027,0.3447273730801604,0.2103526111392878
v_0p60_t_0p90_lm_0p80,11,6,-0.4201266030106378,-0.41566246235748766,0.00446414065315015,0.5135523544208386,0.13811754756133587
v_0p60_t_0p90_lm_0p80,12,2,-0.38357435633456566,-0.38357435633456416,1.4988010832439613e-15,0.2855637353754433,0.1153949501895268
v_0p60_t_0p90_lm_0p80,13,2,-0.3686922993186668,-0.36869229931866065,6.161737786669619e-15,0.45965488039437863,0.11414308212408789
v_0p60_t_0p90_lm_0p80,14,4,-0.34905563293178277,-0.34844562816173574,0.0006100047700470235,0.2687694069463464,0.07965441969967388
v_0p60_t_0p90_lm_0p80,15,2,-0.32062140264512745,-0.3206214026451256,1.8318679906315083e-15,0.3474212499328213,0.08775258272843572
v_0p60_t_0p90_lm_0p80,16,2,-0.28811030933953014,-0.28811030933952686,3.2751579226442118e-15,0.18698214419504267,0.02983426401538032
v_0p60_t_0p90_lm_0p80,17,2,-0.2815871493943185,-0.2815871493943164,2.1094237467877974e-15,0.27399466743772993,0.037980612246870105
v_0p60_t_0p90_lm_0p80,18,2,-0.2380669126709064,-0.23806691267090627,1.3877787807814457e-16,0.13903022114330554,0.014659838280836552
v_0p60_t_0p90_lm_0p80,19,2,0.038286368675455755,0.03828636867545578,2.7755575615628914e-17,0.23398849153566037,0.024728923720459428
v_0p60_t_0p90_lm_0p80,20,2,0.08219334896971132,0.08219334896971155,2.220446049250313e-16,0.27520083123169586,0.03825490112210508
v_0p60_t_0p90_lm_0p80,21,2,0.08885881953622839,0.08885881953622854,1.5265566588595902e-16,0.2004526147790898,0.0320904166038064
v_0p60_t_0p90_lm_0p80,22,2,0.12172310447423652,0.12172310447423769,1.1657341758564144e-15,0.34949409416462923,0.08841567409320357
v_0p60_t_0p90_lm_0p80,23,4,0.15002955485354916,0.15067679340844675,0.0006472385548975945,0.3259362345826878,0.09701140202869465
v_0p60_t_0p90_lm_0p80,24,2,0.17054186964044807,0.17054186964044837,3.0531133177191805e-16,0.46589919527603985,0.11591959522968487
v_0p60_t_0p90_lm_0p80,25,2,0.18583507809992952,0.18583507809993027,7.494005416219807e-16,0.28502226977175665,0.11572865480874332
v_0p60_t_0p90_lm_0p80,26,2,0.21848024482011788,0.21848024482011882,9.43689570931383e-16,0.5182582536557099,0.13935757125689718
v_0p60_t_0p90_lm_0p80,27,4,0.22134159144457885,0.2230911459251547,0.0017495544805758434,0.30658134020876326,0.03711148098609829
v_0p60_t_0p90_lm_0p80,28,2,0.2450273084975197,0.24502730849752288,3.191891195797325e-15,0.34526114015362813,0.2112103759815053
v_0p60_t_0p90_lm_0p80,29,2,0.24908227974427075,0.2490822797442708,5.551115123125783e-17,0.34326657397954824,0.02923465285813858
