v,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification
0.1,10,10,360,-0.31622776601683905,0.31622776601683905,0.9998000100000006,0.00019997999999979963,9.999999999994754e-09,corner_state
0.1,10,10,361,-0.3162277660168381,0.3162277660168381,0.999800010000001,0.00019997999999980004,9.999999999975999e-09,corner_state
0.1,10,10,362,-9.511746442343523e-11,9.511746442343523e-11,0.10788815343262696,0.8920228136231769,8.903294419698561e-05,edge_state
0.1,10,10,363,-9.511726458550347e-11,9.511726458550347e-11,0.10827610506674334,0.8916347235323605,8.91714008956683e-05,edge_state
0.1,10,10,364,-9.511722274646219e-11,9.511722274646219e-11,0.10828332529977386,0.8916273983179646,8.927638226286626e-05,edge_state
0.1,10,10,365,-9.511721221712564e-11,9.511721221712564e-11,0.10806879314968493,0.8918419448588962,8.926199141885768e-05,edge_state
0.1,10,10,366,-9.503058784646499e-11,9.503058784646499e-11,0.32459470066650453,0.6753342833525415,7.101598095480012e-05,edge_state
0.1,10,10,367,-9.503025533620273e-11,9.503025533620273e-11,0.32415910164334105,0.6757751758191837,6.572253747460523e-05,edge_state
0.1,10,10,368,-9.50302434727451e-11,9.50302434727451e-11,0.3243292738027831,0.6756031639143498,6.756228286476351e-05,edge_state
0.1,10,10,369,-9.50296243227484e-11,9.50296243227484e-11,0.32406680900048546,0.6758672176037599,6.597339575688453e-05,edge_state
0.1,10,10,370,-9.488622895376233e-11,9.488622895376233e-11,0.45357031108981577,0.546376929666917,5.275924326743495e-05,bulk_or_mixed_state
0.1,10,10,371,-9.488620461772261e-11,9.488620461772261e-11,0.454044155279996,0.5459012512143266,5.45935056787394e-05,bulk_or_mixed_state
0.1,10,10,372,-9.488617986321531e-11,9.488617986321531e-11,0.45389588053365143,0.5460461269743015,5.799249204794498e-05,bulk_or_mixed_state
0.1,10,10,373,-9.488613049254991e-11,9.488613049254991e-11,0.4538799450358768,0.5460669565120198,5.309845210413463e-05,bulk_or_mixed_state
