v,alpha,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,IPR
0.5,0.0,800,4.899449832609963e-18,4.899449832609963e-18,0.9753732016085649,0.02450068853098454,0.00012610986045011923,0.6060480546676786
0.5,0.0,801,3.135880440713002e-17,3.135880440713002e-17,0.9664373819856114,0.033503270395252714,5.934761913563657e-05,0.1996918208500627
0.5,0.0,802,3.822081376923679e-17,3.822081376923679e-17,0.7572745088482413,0.2417924495095685,0.0009330416421914867,0.09426550572578712
0.5,0.0,803,1.1388148378439191e-16,1.1388148378439191e-16,0.8965022867422913,0.10337180213374356,0.00012591112396551947,0.22464111941179005
0.5,0.0,799,-1.219364492216667e-16,1.219364492216667e-16,0.8764802076817305,0.12289109927128274,0.0006286930469872072,0.083062451307855
0.5,0.0,798,-1.44808153346866e-16,1.44808153346866e-16,0.9031654344721732,0.0963115480105028,0.0005230175173240902,0.10599748668479603
0.5,0.0,804,1.8414640744141492e-16,1.8414640744141492e-16,0.9300222306060012,0.06955601801098384,0.0004217513830161281,0.07949588632855831
0.5,0.0,797,-2.71986740557632e-16,2.71986740557632e-16,0.807013737617269,0.19210071035168258,0.0008855520310506351,0.09583845514511476
0.5,1.0,813,5.652986870082555e-07,5.652986870082555e-07,0.30464720248668276,0.684560573241136,0.01079222427218049,0.011797413542045793
0.5,1.0,814,5.652986873099018e-07,5.652986873099018e-07,0.30464720248668314,0.6845605732411364,0.010792224272180488,0.011797413542045805
0.5,1.0,812,-5.653052235092069e-07,5.653052235092069e-07,0.3046490553665063,0.6845646331361671,0.010786311497327042,0.011593180021438668
0.5,1.0,811,-5.653052239141755e-07,5.653052239141755e-07,0.30465054979793743,0.684562972652231,0.010786477549830543,0.012002034258924444
0.5,1.0,810,-0.023140325495087568,0.023140325495087568,0.004429336964389773,0.19837517268741275,0.7971954903481957,0.005420262514357363
0.5,1.0,809,-0.023140325495087915,0.023140325495087915,0.004429336964390744,0.19837517268741187,0.797195490348197,0.00542026251435738
0.5,1.0,808,-0.02445990470938706,0.02445990470938706,0.3144111644334307,0.6772495451922562,0.008339290374311099,0.013068586114647795
0.5,1.0,807,-0.024459904709387248,0.024459904709387248,0.3057066035768609,0.6867571401008892,0.007536256322250504,0.013291269224053257
0.6,0.0,799,-6.248564245383005e-18,6.248564245383005e-18,0.9988615906985472,0.0011365254336831343,1.88386776886878e-06,0.6648367724287004
0.6,0.0,800,2.2421401814908708e-17,2.2421401814908708e-17,0.9692078623405154,0.030790377072950872,1.7605865345745507e-06,0.27686353736312835
0.6,0.0,798,-1.2055425111493777e-16,1.2055425111493777e-16,0.9486843300312221,0.05118186648149956,0.00013380348727848405,0.17380798309915563
0.6,0.0,801,3.112908984205793e-16,3.112908984205793e-16,0.9685876294040292,0.03137416310174932,3.820749422163415e-05,0.3340678203794462
0.6,0.0,802,4.4600551022414205e-16,4.4600551022414205e-16,0.9297230188933979,0.07011130276037726,0.00016567834622468975,0.14189211396721982
0.6,0.0,797,-7.374803015419221e-16,7.374803015419221e-16,0.9578494860174533,0.04204870359989696,0.00010181038264927438,0.1587792488837811
0.6,0.0,796,-4.649939018773249e-14,4.649939018773249e-14,0.8286339201323305,0.17095744325108092,0.00040863661658779534,0.07514822444449812
0.6,0.0,803,4.6531343506790754e-14,4.6531343506790754e-14,0.8285754395457136,0.1710158959810697,0.0004086644732158491,0.07511367223018717
0.6,1.0,813,0.0010580956086461313,0.0010580956086461313,0.008580822171220739,0.2721989038777499,0.7192202739510293,0.004513673089521619
0.6,1.0,814,0.001058095608646675,0.001058095608646675,0.008580822171220559,0.27219890387775036,0.7192202739510287,0.004513673089521622
0.6,1.0,815,0.005759437194731703,0.005759437194731703,0.2669867794585193,0.6975688529202086,0.0354443676212725,0.009860174866182686
0.6,1.0,816,0.005759437194731941,0.005759437194731941,0.2669867794585184,0.6975688529202086,0.035444367621272385,0.009860174866182663
0.6,1.0,817,0.005801676688302839,0.005801676688302839,0.2790316778939979,0.6832955758438306,0.037672746262171174,0.01016446015130169
0.6,1.0,818,0.005801676688303079,0.005801676688303079,0.25478820517714723,0.7116109293974944,0.03360086542535699,0.009544304052089583
0.6,1.0,812,-0.020521791271260192,0.020521791271260192,0.29797240927032453,0.6758541418375592,0.02617344889211621,0.011430182966075099
0.6,1.0,811,-0.02052179127126022,0.02052179127126022,0.2979724092703223,0.6758541418375617,0.026173448892116195,0.011430182966075095
