mode_index,energy,abs_energy
0,-1.997257725798181,1.997257725798181
1,-1.9972577257981794,1.9972577257981794
2,-1.99722529200573,1.99722529200573
3,-1.99722529200573,1.99722529200573
4,-1.9972252920057278,1.9972252920057278
5,-1.9972252920057276,1.9972252920057276
6,-1.9972252098972465,1.9972252098972465
7,-1.9972252098972463,1.9972252098972463
8,-1.997225209897246,1.997225209897246
9,-1.9972252098972432,1.9972252098972432
10,-1.9972251869322586,1.9972251869322586
11,-1.9972251869322586,1.9972251869322586
12,-1.9972251869322584,1.9972251869322584
13,-1.9972251869322575,1.9972251869322575
14,-1.9972251771400753,1.9972251771400753
15,-1.9972251771400744,1.9972251771400744
16,-1.9972251771400742,1.9972251771400742
17,-1.9972251771400737,1.9972251771400737
18,-1.9972251720703977,1.9972251720703977
19,-1.9972251720703964,1.9972251720703964
20,-1.9972251720703962,1.9972251720703962
21,-1.997225172070395,1.997225172070395
22,-1.9972251691431366,1.9972251691431366
23,-1.9972251691431366,1.9972251691431366
24,-1.997225169143136,1.997225169143136
25,-1.9972251691431357,1.9972251691431357
26,-1.9972251673456538,1.9972251673456538
27,-1.9972251673456534,1.9972251673456534
28,-1.9972251673456527,1.9972251673456527
29,-1.9972251673456527,1.9972251673456527
30,-1.9972251662156681,1.9972251662156681
31,-1.9972251662156681,1.9972251662156681
32,-1.997225166215668,1.997225166215668
33,-1.9972251662156675,1.9972251662156675
34,-1.9972251655218254,1.9972251655218254
35,-1.997225165521824,1.997225165521824
36,-1.997225165521824,1.997225165521824
37,-1.9972251655218238,1.9972251655218238
38,-1.9972251651440869,1.9972251651440869
39,-1.9972251651440864,1.9972251651440864
40,-1.9972251651440864,1.9972251651440864
41,-1.9972251651440855,1.9972251651440855
42,-1.9972247360288369,1.9972247360288369
43,-1.9972247360288364,1.9972247360288364
44,-1.9972247360288353,1.9972247360288353
45,-1.997224736028835,1.997224736028835
46,-1.9971918244724949,1.9971918244724949
47,-1.9971918244724938,1.9971918244724938
48,-1.989165241568078,1.989165241568078
49,-1.9891652415680774,1.9891652415680774
50,-1.9890425895666914,1.9890425895666914
51,-1.9890425895666903,1.9890425895666903
52,-1.989042589566689,1.989042589566689
53,-1.9890425895666883,1.9890425895666883
54,-1.9890419108361643,1.9890419108361643
55,-1.9890419108361637,1.9890419108361637
56,-1.9890419108361628,1.9890419108361628
57,-1.9890419108361619,1.9890419108361619
58,-1.9890417037731252,1.9890417037731252
59,-1.9890417037731247,1.9890417037731247
60,-1.9890417037731247,1.9890417037731247
61,-1.989041703773124,1.989041703773124
62,-1.9890416098169346,1.9890416098169346
63,-1.989041609816934,1.989041609816934
64,-1.989041609816934,1.989041609816934
65,-1.9890416098169337,1.9890416098169337
66,-1.989041559085903,1.989041559085903
67,-1.9890415590859016,1.9890415590859016
68,-1.9890415590859007,1.9890415590859007
69,-1.9890415590859005,1.9890415590859005
70,-1.9890415291111718,1.9890415291111718
71,-1.9890415291111714,1.9890415291111714
72,-1.9890415291111712,1.9890415291111712
73,-1.9890415291111696,1.9890415291111696
74,-1.9890415107045816,1.9890415107045816
75,-1.98904151070458,1.98904151070458
76,-1.9890415107045796,1.9890415107045796
77,-1.9890415107045794,1.9890415107045794
78,-1.9890414995647945,1.9890414995647945
79,-1.9890414995647945,1.9890414995647945
80,-1.989041499564794,1.989041499564794
81,-1.9890414995647938,1.9890414995647938
82,-1.989041493551185,1.989041493551185
83,-1.989041493551184,1.989041493551184
84,-1.9890414935511826,1.9890414935511826
85,-1.9890414935511824,1.9890414935511824
86,-1.989039880194027,1.989039880194027
87,-1.9890398801940254,1.9890398801940254
88,-1.9890398801940248,1.9890398801940248
89,-1.9890398801940237,1.9890398801940237
90,-1.9890395244825498,1.9890395244825498
91,-1.9890395244825496,1.9890395244825496
92,-1.989039524482549,1.989039524482549
93,-1.9890395244825487,1.9890395244825487
94,-1.9889148570628505,1.9889148570628505
95,-1.9889148570628499,1.9889148570628499
96,-1.9761224195657443,1.9761224195657443
97,-1.9761224195657439,1.9761224195657439
98,-1.9758706168402935,1.9758706168402935
