mode_index,energy,abs_energy
0,-0.07966782694042651,0.07966782694042651
1,-0.07966782694042619,0.07966782694042619
2,-0.06958155416498524,0.06958155416498524
3,-0.06958155416498514,0.06958155416498514
4,-0.06423670901276309,0.06423670901276309
5,-0.06423670901276277,0.06423670901276277
6,-0.058642182060372,0.058642182060372
7,-0.05864218206037181,0.05864218206037181
8,-0.04746041625245062,0.04746041625245062
9,-0.04746041625245045,0.04746041625245045
10,-0.03783512358324172,0.03783512358324172
11,-0.03783512358324088,0.03783512358324088
12,-0.03574042034086605,0.03574042034086605
13,-0.03574042034086526,0.03574042034086526
14,-0.025888905656093746,0.025888905656093746
15,-0.025888905656093683,0.025888905656093683
16,-0.014498853797447345,0.014498853797447345
17,-0.014498853797447312,0.014498853797447312
18,-0.011880810849731771,0.011880810849731771
19,-0.01188081084973173,0.01188081084973173
20,-0.01042338703555301,0.01042338703555301
21,-0.01042338703555299,0.01042338703555299
22,-0.010237179806520672,0.010237179806520672
23,-0.010237179806520556,0.010237179806520556
24,-0.010099259941592742,0.010099259941592742
25,-0.010099259941592694,0.010099259941592694
26,-0.009400765219116765,0.009400765219116765
27,-0.009400765219116737,0.009400765219116737
28,-0.00810061366942513,0.00810061366942513
29,-0.008100613669425064,0.008100613669425064
30,-0.0073998795003687385,0.0073998795003687385
31,-0.007399879500368717,0.007399879500368717
32,-0.006473725789053209,0.006473725789053209
33,-0.0064737257890531185,0.0064737257890531185
34,-0.005991228358518148,0.005991228358518148
35,-0.005991228358518096,0.005991228358518096
36,-0.0029333212132589812,0.0029333212132589812
37,-0.002933321213258978,0.002933321213258978
38,-0.0020640788503069373,0.0020640788503069373
39,-0.0020640788503069342,0.0020640788503069342
40,-0.00047935544840145,0.00047935544840145
41,-0.00047935544840144796,0.00047935544840144796
42,6.0796025384962346e-05,6.0796025384962346e-05
43,6.079602538496244e-05,6.079602538496244e-05
44,0.0049490217294542345,0.0049490217294542345
45,0.004949021729454359,0.004949021729454359
46,0.005358003221407529,0.005358003221407529
47,0.005358003221407564,0.005358003221407564
48,0.005390413764924848,0.005390413764924848
49,0.005390413764924855,0.005390413764924855
50,0.009464017035078695,0.009464017035078695
51,0.009464017035078744,0.009464017035078744
52,0.013379726366810079,0.013379726366810079
53,0.013379726366810164,0.013379726366810164
54,0.01489627581955082,0.01489627581955082
55,0.014896275819550905,0.014896275819550905
56,0.015318069387213779,0.015318069387213779
57,0.01531806938721392,0.01531806938721392
58,0.021510296045279476,0.021510296045279476
59,0.021510296045279643,0.021510296045279643
60,0.021759316973536676,0.021759316973536676
61,0.021759316973536873,0.021759316973536873
62,0.02521411488286185,0.02521411488286185
63,0.02521411488286195,0.02521411488286195
64,0.02602119517991263,0.02602119517991263
65,0.026021195179912703,0.026021195179912703
66,0.02927730016846837,0.02927730016846837
67,0.029277300168468468,0.029277300168468468
68,0.033974163691041746,0.033974163691041746
69,0.03397416369104193,0.03397416369104193
70,0.03953475799973962,0.03953475799973962
71,0.039534757999739684,0.039534757999739684
72,0.04072402042242059,0.04072402042242059
73,0.04072402042242111,0.04072402042242111
74,0.04228087305025649,0.04228087305025649
75,0.042280873050256546,0.042280873050256546
76,0.045050808717683265,0.045050808717683265
77,0.045050808717683515,0.045050808717683515
78,0.046660509844009344,0.046660509844009344
79,0.04666050984400958,0.04666050984400958
80,0.051955211350941374,0.051955211350941374
81,0.051955211350941416,0.051955211350941416
82,0.05239279975572046,0.05239279975572046
83,0.052392799755720657,0.052392799755720657
84,0.055890775022210834,0.055890775022210834
85,0.05589077502221109,0.05589077502221109
86,0.061641832431760704,0.061641832431760704
87,0.06164183243176119,0.06164183243176119
88,0.06369442425621391,0.06369442425621391
89,0.06369442425621409,0.06369442425621409
90,0.07310632412575405,0.07310632412575405
91,0.07310632412575437,0.07310632412575437
92,0.07934260064700899,0.07934260064700899
93,0.07934260064700899,0.07934260064700899
94,0.08035834739323268,0.08035834739323268
95,0.08035834739323282,0.08035834739323282
