mode_index,energy,abs_energy
0,-2.383552451272171,2.383552451272171
1,-2.38355245127217,2.38355245127217
2,-2.359893790507984,2.359893790507984
3,-2.3598937905079835,2.3598937905079835
4,-2.359450865544875,2.359450865544875
5,-2.3594508655448747,2.3594508655448747
6,-2.334848447824337,2.334848447824337
7,-2.334848447824337,2.334848447824337
8,-2.323024326111859,2.323024326111859
9,-2.3230243261118586,2.3230243261118586
10,-2.32298779589537,2.32298779589537
11,-2.32298779589537,2.32298779589537
12,-2.2977685963063337,2.2977685963063337
13,-2.2977685963063337,2.2977685963063337
14,-2.2953965093470474,2.2953965093470474
15,-2.295396509347047,2.295396509347047
16,-2.2782482889142757,2.2782482889142757
17,-2.278248288914275,2.278248288914275
18,-2.2779117905404282,2.2779117905404282
19,-2.277911790540428,2.277911790540428
20,-2.256699041418355,2.256699041418355
21,-2.2566990414183548,2.2566990414183548
22,-2.249616788004375,2.249616788004375
23,-2.249616788004374,2.249616788004374
24,-2.2484321054259713,2.2484321054259713
25,-2.248432105425969,2.248432105425969
26,-2.2304087802612202,2.2304087802612202
27,-2.2304087802612202,2.2304087802612202
28,-2.2303262210061785,2.2303262210061785
29,-2.230326221006178,2.230326221006178
30,-2.2090293295820476,2.2090293295820476
31,-2.209029329582047,2.209029329582047
32,-2.2038857488761714,2.2038857488761714
33,-2.203885748876171,2.203885748876171
34,-2.1981075472541245,2.1981075472541245
35,-2.198107547254124,2.198107547254124
36,-2.1979594326358325,2.1979594326358325
37,-2.197959432635832,2.197959432635832
38,-2.185237527661899,2.185237527661899
39,-2.1852375276618985,2.1852375276618985
40,-2.185007627595447,2.185007627595447
41,-2.1850076275954464,2.1850076275954464
42,-2.1573001339423183,2.1573001339423183
43,-2.1573001339423175,2.1573001339423175
44,-2.156132966875705,2.156132966875705
45,-2.1561329668757043,2.1561329668757043
46,-2.152475667751455,2.152475667751455
47,-2.1524756677514545,2.1524756677514545
48,-2.1474454423305716,2.1474454423305716
49,-2.1474454423305698,2.1474454423305698
50,-2.1456128721672756,2.1456128721672756
51,-2.145612872167275,2.145612872167275
52,-2.145370465582405,2.145370465582405
53,-2.145370465582405,2.145370465582405
54,-2.142614337770764,2.142614337770764
55,-2.1426143377707634,2.1426143377707634
56,-2.1162956670286004,2.1162956670286004
57,-2.1162956670286004,2.1162956670286004
58,-2.1162115682782936,2.1162115682782936
59,-2.1162115682782936,2.1162115682782936
60,-2.11177032874241,2.11177032874241
61,-2.11177032874241,2.11177032874241
62,-2.111764754812981,2.111764754812981
63,-2.111764754812981,2.111764754812981
64,-2.1020187228490173,2.1020187228490173
65,-2.1020187228490173,2.1020187228490173
66,-2.1005952832565926,2.1005952832565926
67,-2.100595283256592,2.100595283256592
68,-2.0924876645709505,2.0924876645709505
69,-2.09248766457095,2.09248766457095
70,-2.0924344311337526,2.0924344311337526
71,-2.0924344311337517,2.0924344311337517
72,-2.0897029694099953,2.0897029694099953
73,-2.089702969409995,2.089702969409995
74,-2.079747382138819,2.079747382138819
