point_label,v,lm,t,w,L,state_index,energy,abs_energy,edge_weight,corner_weight,ipr,classification
A,0.9,0.2,0.5,1.1,12,598,0.008596553969064367,0.008596553969064367,0.9184073210280008,0.48201488734219095,0.007322826308851449,corner-like
A,0.9,0.2,0.5,1.1,12,599,0.008596553969064434,0.008596553969064434,0.9184073210280008,0.48201488734219256,0.0073228263088514515,corner-like
A,0.9,0.2,0.5,1.1,12,597,-0.014807598911918584,0.014807598911918584,0.9203818697320167,0.4802533515364399,0.007559002585941803,corner-like
A,0.9,0.2,0.5,1.1,12,596,-0.014807598911918827,0.014807598911918827,0.9203818697320165,0.48025335153643894,0.0075590025859417955,corner-like
A,0.9,0.2,0.5,1.1,20,68,2.2081922503958017e-05,2.2081922503958017e-05,0.9070532642281858,0.2885931308616366,0.0043061329443024425,corner-like
A,0.9,0.2,0.5,1.1,20,69,2.2081922503958037e-05,2.2081922503958037e-05,0.9070532642281859,0.28859313086163674,0.004306514947995907,corner-like
A,0.9,0.2,0.5,1.1,20,67,-0.013800802558732046,0.013800802558732046,0.9083112796907933,0.2882163632832082,0.00353518759389086,corner-like
A,0.9,0.2,0.5,1.1,20,66,-0.013800802558732249,0.013800802558732249,0.9083112796907933,0.28821636328320815,0.003516045910758903,corner-like
B,1.1,0.2,0.5,0.8999999999999999,12,608,0.009190483751904604,0.009190483751904604,0.7102271889778304,0.2937922545092493,0.0034835160354939193,corner-like
B,1.1,0.2,0.5,0.8999999999999999,12,609,0.009190483751904871,0.009190483751904871,0.7102271889778302,0.2937922545092496,0.003483516035493922,corner-like
B,1.1,0.2,0.5,0.8999999999999999,12,607,-0.013094148974165871,0.013094148974165871,0.7108870116615539,0.28363516571271136,0.0036424095094712197,corner-like
B,1.1,0.2,0.5,0.8999999999999999,12,606,-0.013094148974165918,0.013094148974165918,0.7108870116615541,0.2836351657127114,0.0036424095094712188,corner-like
B,1.1,0.2,0.5,0.8999999999999999,20,42,6.0796025384962346e-05,6.0796025384962346e-05,0.425448033066206,0.09257191738862594,0.0013258131353316171,mixed
B,1.1,0.2,0.5,0.8999999999999999,20,43,6.079602538496244e-05,6.079602538496244e-05,0.4254480330662058,0.09257191738862582,0.0013258312851717902,mixed
B,1.1,0.2,0.5,0.8999999999999999,20,41,-0.00047935544840144796,0.00047935544840144796,0.392719852648909,0.1466900419923985,0.001275732912824558,mixed
B,1.1,0.2,0.5,0.8999999999999999,20,40,-0.00047935544840145,0.00047935544840145,0.3927198526489081,0.14669004199239782,0.001298046072259477,mixed
C,1.9,0.0,0.5,0.10000000000000009,12,576,0.8030895710706272,0.8030895710706272,0.16520260321913754,0.04944235842411375,0.003291571252595674,bulk-like
C,1.9,0.0,0.5,0.10000000000000009,12,577,0.8030895710706274,0.8030895710706274,0.1652026032191315,0.0494423584241105,0.003291571252595743,bulk-like
C,1.9,0.0,0.5,0.10000000000000009,12,579,0.807606702570378,0.807606702570378,0.34282774717733394,0.1296385040987744,0.0030831024528656012,mixed
C,1.9,0.0,0.5,0.10000000000000009,12,578,0.807606702570378,0.807606702570378,0.3428277471773301,0.12963850409877153,0.0034143784355684646,mixed
C,1.9,0.0,0.5,0.10000000000000009,20,0,0.8011935785495399,0.8011935785495399,0.042540481976955286,0.0033453587300088443,0.0006404533644863195,bulk-like
C,1.9,0.0,0.5,0.10000000000000009,20,1,0.8011935785495465,0.8011935785495465,0.04254048197693466,0.0033453587300066134,0.000690160011733534,bulk-like
C,1.9,0.0,0.5,0.10000000000000009,20,2,0.8029662135339367,0.8029662135339367,0.09925535225451967,0.011392634661389092,0.0006200726568917462,bulk-like
C,1.9,0.0,0.5,0.10000000000000009,20,3,0.8029662135339368,0.8029662135339368,0.09925535225451368,0.011392634661387195,0.001093178549158388,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,12,576,0.8030939500135954,0.8030939500135954,0.16530343453575497,0.04947463838478521,0.0032906896357718955,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,12,577,0.803093950013596,0.803093950013596,0.1653034345357554,0.04947463838478474,0.0032906896357718716,bulk-like
D,1.9,0.2,0.5,0.10000000000000009,12,578,0.8076169992619563,0.8076169992619563,0.34298374594870185,0.12970349742962314,0.002379278845398341,mixed
D,1.9,0.2,0.5,0.10000000000000009,12,579,0.8076169992619564,0.8076169992619564,0.3429837459487076,0.1297034974296302,0.0023792788453983185,mixed
D,1.9,0.2,0.5,0.10000000000000009,20,0,0.8011954194473195,0.8011954194473195,0.04257531263897274,0.0033487666236094054,0.0006368097426916399,bulk-like
