mode_index,energy,abs_energy
0,0.8011954194473195,0.8011954194473195
1,0.8011954194473311,0.8011954194473311
2,0.8029707075511181,0.8029707075511181
3,0.8029707075511251,0.8029707075511251
4,0.8029707147598878,0.8029707147598878
5,0.8029707147598926,0.8029707147598926
6,0.8047489910952853,0.8047489910952853
7,0.8047489910952976,0.8047489910952976
8,0.8058693366004728,0.8058693366004728
9,0.8058693366004771,0.8058693366004771
10,0.8058693366038752,0.8058693366038752
11,0.8058693366038793,0.8058693366038793
12,0.8076524954994744,0.8076524954994744
13,0.8076524954994764,0.8076524954994764
14,0.8076525328451104,0.8076525328451104
15,0.8076525328451137,0.8076525328451137
16,0.8098042417536648,0.8098042417536648
17,0.8098042417536699,0.8098042417536699
18,0.8098042471670319,0.8098042471670319
19,0.8098042471670327,0.8098042471670327
20,0.8105640644373713,0.8105640644373713
21,0.8105640644373764,0.8105640644373764
22,0.8115941074660674,0.8115941074660674
23,0.81159410746607,0.81159410746607
24,0.8115941074895633,0.8115941074895633
25,0.8115941074895666,0.8115941074895666
26,0.8145165652932275,0.8145165652932275
27,0.8145165652932302,0.8145165652932302
28,0.8145166654463111,0.8145166654463111
29,0.8145166654463123,0.8145166654463123
30,0.8146597223164926,0.8146597223164926
31,0.8146597223164951,0.8146597223164951
32,0.8146597223245514,0.8146597223245514
33,0.8146597223245537,0.8146597223245537
34,0.8164578820977029,0.8164578820977029
35,0.8164578820977113,0.8164578820977113
36,0.8164579047526592,0.8164579047526592
37,0.8164579047526653,0.8164579047526653
38,0.8184841245871335,0.8184841245871335
39,0.818484124587147,0.818484124587147
40,0.8193940188108106,0.8193940188108106
41,0.819394018810811,0.819394018810811
42,0.8193940188906094,0.8193940188906094
43,0.8193940188906106,0.8193940188906106
44,0.8202968574842116,0.8202968574842116
45,0.8202968574842169,0.8202968574842169
46,0.820296862155137,0.820296862155137
47,0.8202968621551383,0.8202968621551383
48,0.8221047577427144,0.8221047577427144
49,0.8221047577427214,0.8221047577427214
50,0.8221047577849587,0.8221047577849587
51,0.8221047577849656,0.8221047577849656
52,0.8233800188794937,0.8233800188794937
53,0.8233800188794942,0.8233800188794942
54,0.8233802173412313,0.8233802173412313
55,0.8233802173412331,0.8233802173412331
56,0.8250568005075338,0.8250568005075338
57,0.8250568005075365,0.8250568005075365
58,0.8250568527838624,0.8250568527838624
59,0.825056852783865,0.825056852783865
60,0.826559696363854,0.826559696363854
61,0.8265596963638544,0.8265596963638544
62,0.8265596963764105,0.8265596963764105
63,0.8265596963764162,0.8265596963764162
64,0.8282992162747012,0.8282992162747012
65,0.8282992162747032,0.8282992162747032
66,0.8283784942935134,0.8283784942935134
67,0.8283784942935164,0.8283784942935164
68,0.8283785123451184,0.8283785123451184
69,0.8283785123451217,0.8283785123451217
70,0.8290646921236257,0.8290646921236257
71,0.8290646921236259,0.8290646921236259
72,0.829064692320667,0.829064692320667
73,0.8290646923206698,0.8290646923206698
74,0.8313484539550128,0.8313484539550128
75,0.8313484539550168,0.8313484539550168
76,0.8313484540697292,0.8313484540697292
77,0.8313484540697345,0.8313484540697345
78,0.8332815733387132,0.8332815733387132
79,0.8332815733387173,0.8332815733387173
80,0.833281577241511,0.833281577241511
81,0.8332815772415165,0.8332815772415165
82,0.8340106808409671,0.8340106808409671
83,0.834010680840973,0.834010680840973
84,0.8340110077805071,0.8340110077805071
85,0.8340110077805096,0.8340110077805096
86,0.8351122110198321,0.8351122110198321
87,0.8351122110328334,0.8351122110328334
88,0.8351122110773784,0.8351122110773784
89,0.8353806872360393,0.8353806872360393
90,0.8353806872360464,0.8353806872360464
91,0.8353807796617906,0.8353807796617906
92,0.835380779661791,0.835380779661791
93,0.8381015327492489,0.8381015327492489
94,0.8381015327492489,0.8381015327492489
95,0.8381015713504937,0.8381015713504937
