kz_frac,chern_slice,gap_slice,wilson_winding,z2
0.000000000000000000e+00,1.992508397465868948e-16,-3.999999999999998002e-01,-3.002580043686001732e-01,0.000000000000000000e+00
4.761904761904761640e-02,-2.694336244398120331e-16,-3.731939829403097542e-01,1.203909913090037698e+00,1.000000000000000000e+00
9.523809523809523281e-02,-2.793250706514741794e-17,-2.933747338867387366e-01,4.198560296142033188e-01,0.000000000000000000e+00
1.428571428571428492e-01,-6.120016304977049791e-17,-1.623252829658073937e-01,-8.673214091618168531e-02,0.000000000000000000e+00
1.904761904761904656e-01,-1.737195519505465933e-16,1.702694164161216994e-02,-8.254559248188979570e-01,1.000000000000000000e+00
2.380952380952380820e-01,-1.139294406586244433e-16,2.406755076084158007e-01,1.684119204925948576e+00,0.000000000000000000e+00
2.857142857142856984e-01,-2.153736006378157156e-16,5.036244755390373307e-01,4.576204465332525673e-02,0.000000000000000000e+00
3.333333333333333148e-01,-7.707137894551558731e-17,7.999999999999982681e-01,-6.964770901032781847e-01,1.000000000000000000e+00
3.809523809523809312e-01,-5.849764325053403104e-17,9.615907707603238430e-01,1.792667957176693472e+00,0.000000000000000000e+00
4.285714285714285476e-01,2.621164188857030133e-17,1.132974879252421241e+00,-5.755240360401003841e-01,1.000000000000000000e+00
4.761904761904761640e-01,5.526308442642204869e-17,1.310323887696289269e+00,-9.136036834740066670e-01,1.000000000000000000e+00
5.238095238095237249e-01,1.125916919098619204e-16,1.310323887696290157e+00,1.454763303508414207e+00,1.000000000000000000e+00
5.714285714285713969e-01,2.432564589984141521e-16,1.132974879252421685e+00,1.175646207354998696e+00,1.000000000000000000e+00
6.190476190476190688e-01,2.032084269087483224e-16,9.615907707603252863e-01,1.046854056975158764e+00,1.000000000000000000e+00
6.666666666666666297e-01,4.697588640412004696e-17,7.999999999999984901e-01,5.319182389524884647e-02,0.000000000000000000e+00
7.142857142857141906e-01,2.403932348350036993e-18,5.036244755390398842e-01,6.209560794785377036e-01,1.000000000000000000e+00
7.619047619047618625e-01,1.286712609271908926e-16,2.406755076084173550e-01,1.544601138537156915e-01,0.000000000000000000e+00
8.095238095238095344e-01,-1.332998113750173708e-16,1.702694164161194790e-02,7.822916977535839811e-01,1.000000000000000000e+00
8.571428571428570953e-01,-8.390219801098535465e-18,-1.623252829658059504e-01,5.180782112111840254e-01,1.000000000000000000e+00
9.047619047619046562e-01,-7.148113888325597119e-17,-2.933747338867379595e-01,-2.153414839403459347e+00,0.000000000000000000e+00
9.523809523809523281e-01,-3.579567079263789780e-18,-3.731939829403084774e-01,-1.192785353047827401e+00,1.000000000000000000e+00
