v,termination,Lx,Ly,state_index,energy,abs_energy,W_corner,W_edge,W_bulk,classification,bulk_gap_used,in_gap_window
0.5,B,10,10,362,-0.10175043316909801,0.10175043316909801,0.8286088232817916,0.16696366340103985,0.004427513317167058,corner_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,363,-0.10175043316909754,0.10175043316909754,0.8286088232818023,0.16696366340103197,0.004427513317165754,corner_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,364,-0.09994968366312758,0.09994968366312758,0.7971484388869535,0.20173243725438364,0.0011191238586629633,corner_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,365,-0.09994968366312755,0.09994968366312755,0.7971484388869554,0.20173243725438075,0.0011191238586629752,corner_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,366,-0.09819943384732618,0.09819943384732618,0.8498323502144507,0.14497707930796722,0.005190570477582519,corner_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,367,-0.0981994338473254,0.0981994338473254,0.8498323502144591,0.1449770793079606,0.005190570477581062,corner_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,368,-0.0662744817212072,0.0662744817212072,0.1467120572737037,0.7887149811706475,0.06457296155565,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,369,-0.06627448172120677,0.06627448172120677,0.14671205727370684,0.7887149811706445,0.06457296155564839,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,370,-0.06059906674010117,0.06059906674010117,0.13913340238926092,0.8497768980053937,0.011089699605345038,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,371,-0.06059906674010053,0.06059906674010053,0.13913340238926153,0.8497768980053921,0.011089699605346505,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,372,-0.04418141021318814,0.04418141021318814,0.2666082449537994,0.6862081353120499,0.04718361973414972,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,373,-0.04418141021318709,0.04418141021318709,0.26660824495380014,0.6862081353120488,0.04718361973415028,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,374,-0.036382973813033466,0.036382973813033466,0.24389609466513995,0.7459688356275405,0.010135069707320053,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,375,-0.036382973813033403,0.036382973813033403,0.24389609466513854,0.745968835627541,0.010135069707320261,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,376,-0.029685375181428213,0.029685375181428213,0.12352533123479437,0.8115168417500718,0.06495782701513406,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,377,-0.029685375181427866,0.029685375181427866,0.12352533123479456,0.8115168417500709,0.06495782701513396,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,378,-0.02352361195376165,0.02352361195376165,0.18925573966896847,0.7921493331003783,0.01859492723065441,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,379,-0.02352361195376148,0.02352361195376148,0.18925573966896886,0.7921493331003774,0.01859492723065478,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,380,-0.02095834829229456,0.02095834829229456,0.2535770403359649,0.7203707975116684,0.026052162152367615,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,381,-0.020958348292294527,0.020958348292294527,0.2535770403359698,0.7203707975116636,0.026052162152367483,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,382,-0.015976122770580956,0.015976122770580956,0.31826713912599514,0.6636338923890674,0.018098968484937628,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,383,-0.01597612277058059,0.01597612277058059,0.31826713912599736,0.6636338923890646,0.01809896848493857,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,384,-0.014002654241346597,0.014002654241346597,0.28474995568545725,0.6801741087665936,0.0350759355479493,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,385,-0.014002654241346484,0.014002654241346484,0.284749955685464,0.6801741087665905,0.03507593554794637,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,386,-0.0066251764270912564,0.0066251764270912564,0.18879691466205972,0.8044427910879927,0.006760294249948848,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,387,-0.006625176427090565,0.006625176427090565,0.18879691466206036,0.8044427910879903,0.006760294249948072,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,388,-0.0031334077875747133,0.0031334077875747133,0.36408265318898037,0.6048532797480097,0.031064067063010126,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,389,-0.003133407787574685,0.003133407787574685,0.3640826531889825,0.6048532797480086,0.03106406706300889,edge_state,0.6254680554388378,0.25018722217553513
0.5,B,10,10,390,-0.0024143867032451146,0.0024143867032451146,0.3539665359907553,0.6130251054600686,0.033008358549176976,edge_state,0.6254680554388378,0.25018722217553513
