kz_frac,chern_slice,gap_slice,wilson_winding,z2
0.000000000000000000e+00,-1.231841469183539264e-16,-4.000000000000001332e-01,-5.588197600481671357e-01,1.000000000000000000e+00
4.761904761904761640e-02,-1.495340895367769709e-16,-3.731939829403083664e-01,-8.253686699303826035e-01,1.000000000000000000e+00
9.523809523809523281e-02,-1.103265099419434586e-16,-2.933747338867389587e-01,2.834406196559200453e-01,0.000000000000000000e+00
1.428571428571428492e-01,-7.811392229043595184e-18,-1.623252829658068941e-01,1.422728911790008377e+00,1.000000000000000000e+00
1.904761904761904656e-01,2.344753786710523386e-16,1.702694164161162871e-02,1.629879315692427832e+00,0.000000000000000000e+00
2.380952380952380820e-01,1.352785955619128042e-16,2.406755076084162170e-01,1.938966945600069103e+00,0.000000000000000000e+00
2.857142857142856984e-01,1.183626570996953974e-16,5.036244755390389960e-01,6.500120403310151174e-01,1.000000000000000000e+00
3.333333333333333148e-01,4.083295807538047006e-17,7.999999999999988232e-01,-5.692751971991053539e-01,1.000000000000000000e+00
3.809523809523809312e-01,-1.166076482189123771e-16,1.123181541520651638e+00,-2.132282870582949685e-01,0.000000000000000000e+00
4.285714285714285476e-01,1.005549293909592990e-16,1.465949758504844436e+00,1.668394002403366327e+00,0.000000000000000000e+00
4.761904761904761640e-01,-6.678487535149415363e-17,1.710323887696289846e+00,-1.067062066197130621e+00,1.000000000000000000e+00
5.238095238095237249e-01,-4.251043594094169158e-16,1.710323887696290290e+00,-1.781221966651967525e+00,0.000000000000000000e+00
5.714285714285713969e-01,-9.423275233702654074e-17,1.465949758504844436e+00,-8.149487946558956475e-01,1.000000000000000000e+00
6.190476190476190688e-01,-1.046137872145309563e-16,1.123181541520651638e+00,-5.795732937032715970e-01,1.000000000000000000e+00
6.666666666666666297e-01,2.835968773710261068e-17,8.000000000000002665e-01,-1.171674554717601735e+00,1.000000000000000000e+00
7.142857142857141906e-01,-1.064901706097452910e-16,5.036244755390404393e-01,-1.130444824786560609e+00,1.000000000000000000e+00
7.619047619047618625e-01,-1.013129158178334551e-16,2.406755076084169942e-01,9.677165276040983199e-01,1.000000000000000000e+00
8.095238095238095344e-01,-2.102012744670011606e-16,1.702694164161205892e-02,1.982418738329274899e-01,0.000000000000000000e+00
8.571428571428570953e-01,-1.603310355490926186e-16,-1.623252829658071994e-01,-4.074976640604409672e-01,0.000000000000000000e+00
9.047619047619046562e-01,-2.329989860829518744e-16,-2.933747338867381815e-01,1.405399947949859119e+00,1.000000000000000000e+00
9.523809523809523281e-01,-6.017348832514155529e-17,-3.731939829403083664e-01,2.226340190912093064e-01,0.000000000000000000e+00
