center_rank,center_point_id,v,t,lm,w,gap,chern,obc_min_abs_energy,obc_count_absE_le_0p02
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.36,0.98,0.5762020589397908,-3.5673700005506177e-17,0.007034160096876979,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.02,0.5,0.4,0.98,0.6252120179244468,-5.753440312877746e-17,0.004233922433340645,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.0,0.94,-8.465450562766819e-16,-6.569875461192148e-17,0.0009045534998693179,46.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.04,0.94,0.0833981132056596,4.6067735447921086e-17,0.00026053582858319923,50.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.08,0.94,0.17351979528481568,9.343926523204021e-17,0.005893793233287578,54.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.12,0.94,0.2225977039946114,1.3561480941423742e-16,0.0011879595848537075,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.16,0.94,0.2454184041283317,1.9365254992679438e-16,0.0046942913997872525,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.2,0.94,0.2740105002735899,1.0390834028234066e-16,0.003675253235384082,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.24,0.94,0.30790506130052053,1.6120123569166287e-17,0.0037394804548415055,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.28,0.94,0.34660942647101367,2.567907972840206e-16,0.0029130543268721582,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.32,0.94,0.38963259521018,1.1575958831976476e-16,0.005627309677517572,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.36,0.94,0.43650388639307436,1.8347959046920931e-16,0.002335733254939631,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.06,0.5,0.4,0.94,0.486785007080577,-2.370541927281525e-16,0.0073591499777150154,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.0,0.8999999999999999,-5.273559366969494e-16,4.246752388853515e-17,0.005996521629837204,32.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.04,0.8999999999999999,0.04891096455349078,1.6187111547012087e-16,0.004783223939124087,32.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.08,0.8999999999999999,0.059473995269484686,4.748987168973468e-17,0.0010798434882323899,42.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.12,0.8999999999999999,0.07681288648297091,1.4606410555155762e-16,0.0037102485371079356,52.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.16,0.8999999999999999,0.10055871960813323,-1.1588240652753427e-16,0.0018125058636483445,30.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.2,0.8999999999999999,0.13024818488697987,-2.162709445832616e-17,0.003736290745320807,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.24,0.8999999999999999,0.16536240470737024,1.2695901181113525e-16,0.006741327093704463,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.28,0.8999999999999999,0.20536240470736994,-3.1493068346422345e-16,0.00021504902179721907,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.32,0.8999999999999999,0.2497174200896513,-2.242601705607632e-17,0.0005415236171955285,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.36,0.8999999999999999,0.29792476744528323,1.0478778787329193e-16,0.003952617949584539,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.1,0.5,0.4,0.8999999999999999,0.3495218625865992,-3.8725282881513695e-17,0.0021788717617396026,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.0,0.8600000000000001,-7.216449660063518e-16,-5.287962970549685e-17,0.0003540987602998892,34.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.04,0.8600000000000001,0.07628708473243137,1.8658815468145494e-17,0.0007183083071671958,32.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.08,0.8600000000000001,0.08630392335103196,1.1017733967474695e-16,0.0009617145706819547,38.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.12,0.8600000000000001,0.06820046107420563,1.7384032090540485e-16,0.0015487964549953863,46.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.16,0.8600000000000001,0.04345545273983761,2.0172023801830534e-16,0.006457401219099857,52.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.2,0.8600000000000001,0.012588576385844735,-4.061171258256894e-17,0.0019143361274006794,12.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.24,0.8600000000000001,0.023824747683412834,-2.165739309650855e-17,0.0038229225570801557,10.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.28,0.8600000000000001,0.06519429635720243,9.685358177298665e-18,0.0028031698117314667,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.32,0.8600000000000001,0.11094643016439476,-3.332313171762376e-17,0.0004679976391225744,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.36,0.8600000000000001,0.16054495892859977,-1.0689965875813971e-16,2.9777867262948583e-05,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.14,0.5,0.4,0.8600000000000001,0.21350271630588477,2.2411301371050564e-16,0.0029762921696750593,6.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.0,0.8200000000000001,-6.661338147750939e-16,9.21320516538e-18,0.0016552314135132304,22.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.04,0.8200000000000001,0.07610680303816025,-5.4294699690273384e-17,0.0011363559665179854,22.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.08,0.8200000000000001,0.14453605703178252,-7.585229212210599e-17,0.0035029006046125776,22.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.12,0.8200000000000001,0.20559962546824598,-5.164298067645285e-17,0.0055482253045694855,20.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.16,0.8200000000000001,0.18655970378720682,-4.59260858367519e-17,0.001667434372266246,18.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.2,0.8200000000000001,0.15442736893725834,9.080056569537256e-17,0.004993569263308606,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.24,0.8200000000000001,0.11662906555624616,8.628249194950504e-17,0.004449087685979062,14.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.28,0.8200000000000001,0.0738116201893097,3.104340045904237e-16,0.002000161944098367,14.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.32,0.8200000000000001,0.0265946572581542,2.1963857700145702e-17,0.0044483046411983515,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.36,0.8200000000000001,0.02445088208247438,-1.5118665382810217e-17,0.0017776286841499661,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.18,0.5,0.4,0.8200000000000001,0.07881333215575093,-3.7410617247665226e-17,0.002025413974634651,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.0,0.78,-8.326672684688674e-16,-1.4308698170693604e-16,0.006850761972721226,18.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.04,0.78,0.07590816864349254,-2.60094935157496e-16,0.0051398827677606,22.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.08,0.78,0.14375883050422433,1.4083740002524815e-16,6.307164866567684e-05,26.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.12,0.78,0.20391176947587278,-1.8417838498163513e-16,0.0004728346790103311,26.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.16,0.78,0.25691044366568,1.0265663959233664e-16,0.004009343809992501,30.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.2,0.78,0.2951886109685381,2.292137046300157e-16,0.0052070771826394375,42.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.24,0.78,0.2559126396525584,5.78010380983891e-17,0.0010827512552685156,50.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.28,0.78,0.21156458026835975,4.272001521848609e-17,0.0015699643552020543,26.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.32,0.78,0.16281303055062848,1.398162748449396e-16,0.00015892909483850698,18.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.36,0.78,0.11026453022373563,-6.283579017399328e-18,0.0010073719297796922,14.0
2.0,v_1p10_t_0p50_lm_0p20,1.22,0.5,0.4,0.78,0.05445467312391003,-2.3889940818615118e-17,0.007694152600618613,8.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.0,0.74,0.039999999999998814,-1.5990166777126194e-17,0.0025399159424596925,18.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.04,0.74,0.03999999999999965,2.0156927769351707e-16,0.001804722494627202,22.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.08,0.74,0.12,-1.5784885773094223e-16,0.0004253354699104479,22.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.12,0.74,0.19999999999999984,-1.1012200468877747e-16,0.0007774770331242859,22.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.16,0.74,0.2537742251701437,4.8250484345617495e-17,0.002802288048865431,24.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.2,0.74,0.2988103662074756,-1.0545120420797543e-16,0.004079977061051932,24.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.24,0.74,0.33795691715200116,-8.031706621485555e-17,0.003615925447164426,24.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.28,0.74,0.3479656561436657,-1.2779519727165001e-16,0.002827513353478964,4.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.32,0.74,0.2976082921024796,1.3909486727276844e-16,0.013200316254177584,2.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.36,0.74,0.24350151686205562,3.844941600333107e-17,0.014898035623038187,2.0
2.0,v_1p10_t_0p50_lm_0p20,1.26,0.5,0.4,0.74,0.18620365872725747,9.072653352314056e-17,0.012092070850444229,2.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.0,0.7,0.19999999999999862,1.4029737551336014e-16,0.00013967199609294861,14.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.04,0.7,0.12000000000000027,-1.361094913949979e-16,0.0012407032730685082,14.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.08,0.7,0.03999999999999976,-1.4868270170689504e-16,0.00544603430999033,14.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.12,0.7,0.039999999999999813,-1.3967555814679676e-16,0.004686147134764676,16.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.16,0.7,0.11999999999999955,-3.9757453734097236e-17,0.005389409908512809,12.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.2,0.7,0.19999999999999954,-3.40225497761681e-17,0.0015885366833939595,12.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.24,0.7,0.27999999999999975,-2.9143454217500055e-16,0.0011416892550046693,12.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.28,0.7,0.3599999999999995,7.546324997563492e-18,0.00011775534092537056,12.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.32,0.7,0.3915275438896493,5.067490063829667e-17,0.0015986701002898957,2.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.36,0.7,0.375153221575973,-7.362839841835853e-17,0.0021885080320291762,2.0
2.0,v_1p10_t_0p50_lm_0p20,1.3,0.5,0.4,0.7,0.31632985715316325,-4.77349203690926e-17,0.0037954845324176117,2.0
