v,bulk_gap,num_in_gap_edge_states,max_edge_weight,min_abs_edge_energy,edge_state_present,comment
0.1,1.5113389222328681,484,0.999999000000006,1.8292181948715647e-20,1,ok
0.2,1.3147228770131711,484,0.9999360000000039,7.824617868403747e-20,1,ok
0.3,1.1190422434238938,484,0.9992710000000048,0.0,1,ok
0.4,0.9247395985822477,484,0.9959040000000041,3.334698953749929e-19,1,ok
0.5,0.7325810821533132,484,0.9843750000000208,5.762342849978748e-13,1,ok
0.6,0.5440047606874248,484,0.9533440000000402,6.711245161367773e-10,1,ok
0.7,0.3620052322956887,484,0.8823510000155406,2.2347874845158982e-07,1,ok
0.8,0.19367418534244046,484,0.7378563518968607,2.5578087064487552e-05,1,ok
0.9,0.057937972660556177,0,0.4697872737139414,nan,0,ok
1.0,7.622553749832773e-32,4,0.8488599921920487,8.223429963986743e-17,1,finite_size_sensitive_small_gap
1.1,0.05793797266055629,0,0.1969037958954224,nan,0,ok
1.2,0.1936741853424404,0,0.20246496521092622,nan,0,ok
1.3,0.3620052322956887,0,0.208151603541245,nan,0,ok
1.4,0.5440047606874245,0,0.2126244800253275,nan,0,ok
1.5,0.7325810821533132,0,0.21511681631708468,nan,0,ok
