point_id,v,t,lm,w,z2,chern,wilson,ribbon_classification,has_connecting_edge_branch,has_isolated_state,band_window_width,in_window_edge_state_count,span_ratio,min_abs_energy,obc_gap,count_absE_le_0p02,special_score,special_rank,category,physical_score,rationale
v_0p30_t_0p50_lm_0p00,0.3,0.5,0.0,1.7,1,2.895508392458233e-16,-0.7359403131772994,isolated_midgap_state,0,1,1.3999999999999995,484,0.37123736390335416,0.013104402024169955,0.040683169650133605,8,43.57957994274958,9999,bulk_mixed_nontrivial,0.467809,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p30_t_0p50_lm_0p10,0.3,0.5,0.1,1.7,1,6.435308752636712e-17,0.69953766521984,isolated_midgap_state,0,1,1.399999999999999,484,0.3843768591719488,0.012261831455696827,0.0317482555595417,6,39.414119303439676,9999,bulk_mixed_nontrivial,0.466383,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p30_t_0p50_lm_0p20,0.3,0.5,0.2,1.7,1,-2.804403135151875e-17,-1.2499397281188969,isolated_midgap_state,0,1,1.399999999999999,484,0.42339304305340913,0.005105454702497172,0.022492472216322272,8,54.33675556370138,9999,bulk_mixed_nontrivial,0.480848,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p30_t_0p50_lm_0p30,0.3,0.5,0.3,1.7,1,-9.10106224879717e-17,-0.5267055009321215,isolated_midgap_state,0,1,1.1999999999999997,484,0.5670379449471112,0.0009391220867129742,0.008682317443353588,6,123.08739034212766,15,transition_core_or_precursor,0.511592,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p30_t_0p50_lm_0p40,0.3,0.5,0.4,1.7,0,-1.4991941515504332e-16,0.04375522922613461,isolated_midgap_state,0,1,1.0000000000000007,484,0.7973635574596395,0.009292068242841017,0.02069262741793601,4,33.50897016179593,9999,ambiguous_need_review,0.379065,指标互相竞争，需结合波函数和更大尺寸复核
v_0p30_t_0p50_lm_0p50,0.3,0.5,0.5,1.7,0,5.805654774539584e-17,0.3568637507114099,connecting_edge_branch,1,0,0.799999999999998,324,0.9756435408389025,0.014671602902440736,0.02934320580488966,4,29.4974325045569,9999,ambiguous_need_review,0.665948,指标互相竞争，需结合波函数和更大尺寸复核
v_0p40_t_0p50_lm_0p00,0.4,0.5,0.0,1.6,1,1.3158182161405017e-17,0.5589804485837937,isolated_midgap_state,0,1,1.1999999999999997,384,0.436776596219338,0.008123787261878453,0.04465583716951543,8,55.191108818388365,9999,bulk_mixed_nontrivial,0.484194,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p40_t_0p50_lm_0p10,0.4,0.5,0.1,1.6,1,-2.0343009095365998e-16,0.7894893797863543,isolated_midgap_state,0,1,1.1999999999999986,372,0.4438103112121657,0.0007130851737770867,0.006711771294204821,8,161.112215808525,10,transition_core_or_precursor,0.485953,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p40_t_0p50_lm_0p20,0.4,0.5,0.2,1.6,0,9.233466729980279e-17,2.034262648750338,isolated_midgap_state,0,1,1.0000000000000004,352,0.5546434754891463,0.0014841287604462415,0.011315866618782726,6,90.20228961230869,9999,transition_core_or_precursor,0.344153,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p40_t_0p50_lm_0p30,0.4,0.5,0.3,1.6,0,3.291776088840412e-16,0.22369153384412527,isolated_midgap_state,0,1,0.8000000000000009,336,0.736021239577765,0.00016812516855208918,0.017283879445887433,4,503.0245203858899,5,transition_core_or_precursor,0.333167,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p40_t_0p50_lm_0p40,0.4,0.5,0.4,1.6,1,3.852699503379867e-16,-0.8089653157659769,connecting_edge_branch,1,0,0.6000000000000003,272,0.9899238137287213,0.0035142716856303782,0.021608829724584472,6,54.54030064810512,9999,robust_edge_topology,0.80549,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p40_t_0p50_lm_0p50,0.4,0.5,0.5,1.6,1,2.793915009506761e-16,1.2090195034952087,connecting_edge_branch,1,0,0.40000000000000036,148,0.9971397617824124,0.013390143749738096,0.026780287499477133,4,30.214944707367856,9999,robust_edge_topology,0.684216,Z2=1 且 ribbon(4/5) 连接边界分支清晰，且能隙足够打开
v_0p50_t_0p50_lm_0p00,0.5,0.5,0.0,1.5,0,7.730719336754552e-18,0.38209018898106667,isolated_midgap_state,0,1,0.9999999999999964,192,0.3584136624312565,0.010610889283580787,0.044226230959555045,8,46.896011446954965,9999,ambiguous_need_review,0.256461,指标互相竞争，需结合波函数和更大尺寸复核
v_0p50_t_0p50_lm_0p10,0.5,0.5,0.1,1.5,0,-1.6207559500011413e-16,-0.4299916264765358,isolated_midgap_state,0,1,0.7999999999999988,196,0.4566952563828828,0.012717854735775313,0.032716151648660374,6,41.12427053002477,9999,ambiguous_need_review,0.235782,指标互相竞争，需结合波函数和更大尺寸复核
v_0p50_t_0p50_lm_0p20,0.5,0.5,0.2,1.5,1,-2.0861179686129152e-16,-1.1702368316318794,isolated_midgap_state,0,1,0.5999999999999986,204,0.6369033947666219,0.006229592650682212,0.012782494293757232,6,48.535607862861674,9999,bulk_mixed_nontrivial,0.398532,Z2 非平庸但 ribbon 未形成连接边界分支，边界性被弱化
v_0p50_t_0p50_lm_0p30,0.5,0.5,0.3,1.5,0,1.447388558399788e-16,-0.45018273795901237,connecting_edge_branch,1,0,0.40000000000000036,184,0.9738423748787891,0.0017937317595412732,0.012994471056820282,6,78.21458323804247,9999,transition_core_or_precursor,0.508375,小隙/近零能聚集/高 special_rank，属于相变核心或前驱
v_0p50_t_0p50_lm_0p40,0.5,0.5,0.4,1.5,1,2.253187218964506e-16,-2.7542701390286743,isolated_midgap_state,0,1,0.19999999999999965,56,0.9125092048484325,0.0021927723565829307,0.020809869019333634,4,63.36506509398717,9999,ambiguous_need_review,0.277439,指标互相竞争，需结合波函数和更大尺寸复核
