corridor,v,t,lm,w,gap,chern,obc_min_abs_energy,trigger
rank_01_v_0p90_t_0p50_lm_0p20,0.86,0.5,0.08,1.1400000000000001,0.17117331449265227,-5.130113123385492e-17,0.00044242335851433796,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.3,0.5,0.0,0.7,0.19999999999999862,1.4029737551336014e-16,0.00013967199609294861,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.26,0.5,0.12,0.74,0.19999999999999984,-1.1012200468877747e-16,0.0007774770331242859,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.22,0.5,0.12,0.78,0.20391176947587278,-1.8417838498163513e-16,0.0004728346790103311,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,1.1,0.5,0.28,0.8999999999999999,0.20536240470736994,-3.1493068346422345e-16,0.00021504902179721898,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.1,0.5,0.28,0.8999999999999999,0.20536240470736994,-3.1493068346422345e-16,0.00021504902179721907,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.1,0.5,0.32,0.8999999999999999,0.2497174200896513,-2.242601705607632e-17,0.0005415236171955285,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,1.1,0.5,0.32,0.8999999999999999,0.2497174200896513,-2.242601705607632e-17,0.0005415236171955289,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.86,0.5,0.12,1.1400000000000001,0.26498927033685377,-8.765776346974553e-17,0.0007980976336935811,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,0.9,0.5,0.12,1.1,0.26587743560300475,2.5226046735065674e-16,0.0007205635881443926,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.9,0.5,0.12,1.1,0.26587743560300475,2.5226046735065674e-16,0.0007205635881443931,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,1.3,0.5,0.28,0.7,0.3599999999999995,7.546324997563492e-18,0.00011775534092537056,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.74,0.5,0.2,1.26,0.36,2.157145217110291e-16,0.0008948745214339655,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.74,0.5,0.24,1.26,0.4399999999999995,-4.847446415916707e-17,0.0003714615816935623,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.82,0.5,0.2,1.1800000000000002,0.4659534501738007,-1.4179710820426247e-17,0.0003485885616342892,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.98,0.5,0.2,1.02,0.47562767398418543,-9.647075056002729e-17,0.0004289353708902932,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,0.98,0.5,0.2,1.02,0.47562767398418543,-9.647075056002729e-17,0.0004289353708902943,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,0.9,0.5,0.24,1.1,0.5801666550941995,-8.556226669873828e-17,0.0004995285189957413,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.9,0.5,0.24,1.1,0.5801666550941995,-8.556226669873828e-17,0.0004995285189957422,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.74,0.5,0.4,1.26,0.76,-1.566030385226019e-16,0.0003435011967851317,|gap|<=0.02 or obc_min<=0.001
rank_02_v_1p10_t_0p50_lm_0p20,0.98,0.5,0.4,1.02,0.7647281407014306,7.817857760943199e-17,0.0004730746485716174,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.98,0.5,0.4,1.02,0.7647281407014306,7.817857760943199e-17,0.0004730746485716176,|gap|<=0.02 or obc_min<=0.001
rank_01_v_0p90_t_0p50_lm_0p20,0.82,0.5,0.36,1.1800000000000002,0.9223168956501977,-1.1073679073676967e-16,0.0006482449532609742,|gap|<=0.02 or obc_min<=0.001
