point_label,v,lm,direction,scan_param,center_index,wannier_center
C,0.5,0.1,kx_scan_ky,0.0,0,0.11203752740980226
C,0.5,0.1,kx_scan_ky,0.0,1,0.3973289660951252
C,0.5,0.1,kx_scan_ky,0.0,2,0.6500758082285174
C,0.5,0.1,kx_scan_ky,0.0,3,0.9293588732231801
C,0.5,0.1,kx_scan_ky,0.012345679012345678,0,0.04031016624756766
C,0.5,0.1,kx_scan_ky,0.012345679012345678,1,0.43047057048921383
C,0.5,0.1,kx_scan_ky,0.012345679012345678,2,0.5769477764902342
C,0.5,0.1,kx_scan_ky,0.012345679012345678,3,0.8650739270122307
C,0.5,0.1,kx_scan_ky,0.024691358024691357,0,0.19642373339882918
C,0.5,0.1,kx_scan_ky,0.024691358024691357,1,0.3625463493370273
C,0.5,0.1,kx_scan_ky,0.024691358024691357,2,0.6299875144569882
C,0.5,0.1,kx_scan_ky,0.024691358024691357,3,0.8450743167773113
C,0.5,0.1,kx_scan_ky,0.037037037037037035,0,0.29757304628851083
C,0.5,0.1,kx_scan_ky,0.037037037037037035,1,0.3121138764612457
C,0.5,0.1,kx_scan_ky,0.037037037037037035,2,0.6754250072794066
C,0.5,0.1,kx_scan_ky,0.037037037037037035,3,0.7119936395710915
C,0.5,0.1,kx_scan_ky,0.04938271604938271,0,0.06131705684445612
C,0.5,0.1,kx_scan_ky,0.04938271604938271,1,0.34330825707245033
C,0.5,0.1,kx_scan_ky,0.04938271604938271,2,0.6785894179513501
C,0.5,0.1,kx_scan_ky,0.04938271604938271,3,0.708277425233495
C,0.5,0.1,kx_scan_ky,0.06172839506172839,0,0.2298615705095842
C,0.5,0.1,kx_scan_ky,0.06172839506172839,1,0.3142016709203541
C,0.5,0.1,kx_scan_ky,0.06172839506172839,2,0.7204367434224033
C,0.5,0.1,kx_scan_ky,0.06172839506172839,3,0.7969654785686355
C,0.5,0.1,kx_scan_ky,0.07407407407407407,0,0.16105297946024866
C,0.5,0.1,kx_scan_ky,0.07407407407407407,1,0.48525391708802534
C,0.5,0.1,kx_scan_ky,0.07407407407407407,2,0.6068529004474468
C,0.5,0.1,kx_scan_ky,0.07407407407407407,3,0.9644528760300117
C,0.5,0.1,kx_scan_ky,0.08641975308641975,0,0.11102959863084096
C,0.5,0.1,kx_scan_ky,0.08641975308641975,1,0.3626211700152816
C,0.5,0.1,kx_scan_ky,0.08641975308641975,2,0.45594404468099436
C,0.5,0.1,kx_scan_ky,0.08641975308641975,3,0.7170671519951852
C,0.5,0.1,kx_scan_ky,0.09876543209876543,0,0.36905553836388105
C,0.5,0.1,kx_scan_ky,0.09876543209876543,1,0.47582268689328017
C,0.5,0.1,kx_scan_ky,0.09876543209876543,2,0.7042718749276964
C,0.5,0.1,kx_scan_ky,0.09876543209876543,3,0.9652881624084139
C,0.5,0.1,kx_scan_ky,0.1111111111111111,0,0.12932676397472598
C,0.5,0.1,kx_scan_ky,0.1111111111111111,1,0.4169860719503757
C,0.5,0.1,kx_scan_ky,0.1111111111111111,2,0.8431672669386678
C,0.5,0.1,kx_scan_ky,0.1111111111111111,3,0.9426992305636931
